file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	71010025	21438470	10121458	0.12294209009368331	3486076	2327890	309876	0.056299224758316085
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	71010025	21438470	10121458	0.12294209009368331	3304	94	37	0.011008628384409401
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	70117455	21049251	9474970	0.11598443690803682	3682796	2272680	326380	0.05798089071495672
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	70117455	21049251	9474970	0.11598443690803682	2967	85	37	0.012271973466003316
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	64017105	2826111	2125240	0.032838480610085825	3788442	598655	144729	0.03411514512649539
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	64017105	2826111	2125240	0.032838480610085825	2112	13	13	0.00615530303030303
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	16879198	2826096	1516017	0.08334674324878334	1745756	598660	71106	0.03127862016179052
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	16879198	2826096	1516017	0.08334674324878334	154	13	11	0.07051282051282051
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	13840374	2825987	1464210	0.09631597528533956	1623952	598612	66170	0.03068548697501477
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	13840374	2825987	1464210	0.09631597528533956	13	13	11	0.7333333333333333
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	100769427	28693949	10198845	0.08551448544244894	3833476	2554562	419688	0.07031893236824248
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	100769427	28693949	10198845	0.08551448544244894	7217	223	81	0.0110069302894415
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	98140828	28304730	9109892	0.07763958147218425	4962557	2550897	479415	0.06815643188785277
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	98140828	28304730	9109892	0.07763958147218425	6251	209	80	0.012539184952978056
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	59892971	2837314	1868533	0.030701268671989593	3332740	599497	131882	0.03470254752516541
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	59892971	2837314	1868533	0.030701268671989593	3356	37	37	0.01102502979737783
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	14002680	2837300	1465172	0.09529692988686428	1631171	599516	66693	0.030819401532536598
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	14002680	2837300	1465172	0.09529692988686428	51	37	35	0.660377358490566
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	14002195	2837123	1465085	0.0952948351960062	1631001	599427	66657	0.030805940184982606
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	14002195	2837123	1465085	0.0952948351960062	45	37	35	0.7446808510638298
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	83993492	24475635	10166762	0.10342337135022132	3649595	2424253	361239	0.06323537984132994
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	83993492	24475635	10166762	0.10342337135022132	5067	157	73	0.0141720054358377
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.01	min	optimal	82483228	24086416	9365211	0.09634551337797526	4406507	2386015	401953	0.06289784211703214
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.01	min	0.05	82483228	24086416	9365211	0.09634551337797526	4507	138	72	0.015744587797944458
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.05	min	optimal	75893162	2832413	2100256	0.027409425858311923	4100966	599185	156694	0.034487836024419294
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.05	min	0.05	75893162	2832413	2100256	0.027409425858311923	3480	36	36	0.010344827586206896
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.1	min	optimal	13937827	2832398	1464924	0.09571350475237304	1628414	599187	66512	0.030777075816868255
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.1	min	0.05	13937827	2832398	1464924	0.09571350475237304	45	36	34	0.723404255319149
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.25	min	optimal	13937505	2832285	1464878	0.09571293190055585	1628263	599132	66487	0.030768084527430135
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	25000000	0.25	min	0.05	13937505	2832285	1464878	0.09571293190055585	43	36	34	0.7555555555555555
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	5000000	0.0	min	optimal	62582414	19590248	10076768	0.13976895827104938	3118335	2247621	256312	0.050162398789426424
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	5000000	0.0	min	0.05	62582414	19590248	10076768	0.13976895827104938	2474	74	34	0.013524264120922832
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	5000000	0.01	min	optimal	61797731	19201029	9458580	0.13221353370930852	3467266	2175275	283434	0.05288828903770722
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	5000000	0.01	min	0.05	61797731	19201029	9458580	0.13221353370930852	2131	66	34	0.01571890892279242
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	5000000	0.05	min	optimal	58426783	3343844	2363599	0.03978652155431846	3616667	655897	142645	0.03453941832757495
GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	5000000	0.05	min	0.05	58426783	3343844	2363599	0.03978652155431846	1397	17	14	0.01
