file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.0	min	optimal	21717367	32298409	7803599	0.16886456139038852	2303866	1964213	314503	0.07954899564343774
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.0	min	0.05	21717367	32298409	7803599	0.16886456139038852	728	490	97	0.08652988403211419
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.01	min	optimal	21395073	31791195	7240961	0.15759957812448613	2347898	3249668	448905	0.0871886884764796
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.01	min	0.05	21395073	31791195	7240961	0.15759957812448613	661	417	86	0.08669354838709678
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.05	min	optimal	18319272	26997188	5468318	0.13722893278185969	2124928	3103427	410834	0.085279130075406
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.05	min	0.05	18319272	26997188	5468318	0.13722893278185969	506	293	63	0.08559782608695653
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.1	min	optimal	3625160	5526511	1386830	0.17860378596290638	851339	913272	111555	0.06748410217197723
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.1	min	0.05	3625160	5526511	1386830	0.17860378596290638	8	18	6	0.3
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.25	min	optimal	3625013	5526265	1386761	0.17860235221327997	851267	913164	111520	0.06746884738500743
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.25	min	0.05	3625013	5526265	1386761	0.17860235221327997	6	18	6	0.3333333333333333
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.0	min	optimal	27791817	42026444	7828741	0.12629136344336914	2640398	2864193	473543	0.09412412682208558
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.0	min	0.05	27791817	42026444	7828741	0.12629136344336914	1350	882	178	0.0866601752677702
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.01	min	optimal	27294091	40867909	6819291	0.11116709892939355	2664699	3983083	606470	0.1003871344502651
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.01	min	0.05	27294091	40867909	6819291	0.11116709892939355	1258	732	153	0.08328796951551443
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.05	min	optimal	7847190	11902069	2314169	0.13273054512480292	1249290	1431600	191417	0.07689057081559028
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.05	min	0.05	7847190	11902069	2314169	0.13273054512480292	370	279	73	0.1267361111111111
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.1	min	optimal	3634557	5549304	1387482	0.17796492448609796	855221	915324	112211	0.06766489742114677
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.1	min	0.05	3634557	5549304	1387482	0.17796492448609796	28	47	26	0.5306122448979592
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.25	min	optimal	3634324	5548922	1387366	0.17796143604057527	855121	915157	112158	0.06764166646563578
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.25	min	0.05	3634324	5548922	1387366	0.17796143604057527	25	45	25	0.5555555555555556
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.0	min	optimal	24290599	36525340	7818198	0.1475194574802726	2460214	2292360	373544	0.08530290954846165
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.0	min	0.05	24290599	36525340	7818198	0.1475194574802726	976	692	148	0.09736842105263158
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.01	min	optimal	23935907	35731468	7082034	0.13467696253980743	2493623	3706286	535158	0.09447158401137137
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.01	min	0.05	23935907	35731468	7082034	0.13467696253980743	907	596	133	0.09708029197080292
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.05	min	optimal	13746699	18641135	3642171	0.12670332216724312	1733386	2115221	297837	0.08387955288571211
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.05	min	0.05	13746699	18641135	3642171	0.12670332216724312	480	328	83	0.11448275862068966
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.1	min	optimal	3630550	5539859	1387248	0.17823709415750233	851804	914420	111781	0.06756412883369206
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.1	min	0.05	3630550	5539859	1387248	0.17823709415750233	25	45	23	0.48936170212765956
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.25	min	optimal	3630402	5539607	1387180	0.178235960214467	851732	914285	111746	0.06754999634279994
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.25	min	0.05	3630402	5539607	1387180	0.178235960214467	23	45	23	0.5111111111111111
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.0	min	optimal	20138463	29648429	7790176	0.18549488488576107	2045136	1736826	259913	0.07379596365638297
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.0	min	0.05	20138463	29648429	7790176	0.18549488488576107	609	410	87	0.09334763948497854
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.01	min	optimal	19875662	29199052	7304185	0.1748645558211628	2254689	2895220	394750	0.08301510002084052
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.01	min	0.05	19875662	29199052	7304185	0.1748645558211628	545	343	78	0.0962962962962963
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.05	min	optimal	18179096	26975459	5909766	0.15058727924362136	2134762	3098036	397555	0.08222027310726679
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.05	min	0.05	18179096	26975459	5909766	0.15058727924362136	423	236	57	0.0946843853820598
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.1	min	optimal	3620414	5515122	1386688	0.17895408452972622	854032	912624	111683	0.0674832761622093
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.1	min	0.05	3620414	5515122	1386688	0.17895408452972622	8	17	6	0.3157894736842105
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.25	min	optimal	3620267	5514877	1386619	0.17895263937330008	853960	912516	111648	0.06746803897444327
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.25	min	0.05	3620267	5514877	1386619	0.17895263937330008	6	17	6	0.35294117647058826
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.0	min	optimal	26420238	39907197	7826360	0.1337814732464318	2592783	2751123	447349	0.09135990860516889
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.0	min	0.05	26420238	39907197	7826360	0.1337814732464318	1208	815	168	0.09056603773584905
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.01	min	optimal	26030799	38875991	6947341	0.1198655459957875	2623076	3925330	586275	0.09833312954713676
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.01	min	0.05	26030799	38875991	6947341	0.1198655459957875	1123	696	147	0.08791866028708134
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.05	min	optimal	10488139	16811830	2971288	0.12213107648540421	1448217	1940666	258118	0.0824456642386126
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.05	min	0.05	10488139	16811830	2971288	0.12213107648540421	460	363	81	0.1091644204851752
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.1	min	optimal	3633520	5547394	1387427	0.1780239063720771	852076	915166	111887	0.06759093970779682
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.1	min	0.05	3633520	5547394	1387427	0.1780239063720771	28	47	26	0.5306122448979592
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.25	min	optimal	3633288	5547012	1387311	0.17802039756504212	851976	914999	111834	0.06756765737783064
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.25	min	0.05	3633288	5547012	1387311	0.17802039756504212	25	45	25	0.5555555555555556
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.0	max	optimal	21717367	32298409	7803599	0.16886456139038852	1876705	2897806	350285	0.07917430077034944
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.0	max	0.05	21717367	32298409	7803599	0.16886456139038852	339	208	58	0.11860940695296524
