file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	21717367	27000012	6882074	0.16450397576879144	2303866	2559853	423105	0.09528074270810298
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	21717367	27000012	6882074	0.16450397576879144	728	415	70	0.06523765144454799
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	21395073	26378499	6251786	0.1505664038632635	2347898	2911479	468916	0.09788536009373629
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	21395073	26378499	6251786	0.1505664038632635	661	362	66	0.06896551724137931
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	18319272	18732984	4409549	0.13508527341191404	2124928	2275623	373160	0.0926555181754143
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	18319272	18732984	4409549	0.13508527341191404	506	241	50	0.07173601147776183
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	3625160	4347447	1201989	0.17753017523658846	851339	833187	131748	0.08484664259797602
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	3625160	4347447	1201989	0.17753017523658846	8	12	6	0.42857142857142855
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	3625013	4347211	1201931	0.17753013052758573	851267	833088	131715	0.08483292971970322
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	3625013	4347211	1201931	0.17753013052758573	6	12	6	0.5
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	27791817	35295760	6902768	0.1228582622751285	2640398	3160209	573447	0.10970527016582618
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	27791817	35295760	6902768	0.1228582622751285	1350	823	161	0.08001988071570576
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	27294091	34393356	6019987	0.10814193785741257	2664699	3216355	577218	0.10883028811599756
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	27294091	34393356	6019987	0.10814193785741257	1258	735	152	0.08256382400869093
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	7847190	6175696	1700677	0.1380172175297465	1249290	1039397	185534	0.08821707217686968
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	7847190	6175696	1700677	0.1380172175297465	370	101	49	0.11611374407582939
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	3634557	4362322	1202433	0.17697292759409672	855221	834245	132392	0.08502614519284248
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	3634557	4362322	1202433	0.17697292759409672	28	37	25	0.625
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	3634324	4361956	1202334	0.1769713801081139	855121	834117	132346	0.08500653866806432
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	3634324	4361956	1202334	0.1769713801081139	25	36	25	0.6944444444444444
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	24290599	30542445	6893974	0.14380700334820848	2460214	3034761	515772	0.10358525249924536
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	24290599	30542445	6893974	0.14380700334820848	976	587	120	0.08316008316008316
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	25000000	0.01	min	optimal	23935907	29799242	6168537	0.12968207615879812	2493623	3056166	518216	0.10299284140367237
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	25000000	0.01	min	0.05	23935907	29799242	6168537	0.12968207615879812	907	523	114	0.08662613981762918
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	25000000	0.05	min	optimal	13746699	9373400	2514863	0.12204970620088991	1733386	1346068	250306	0.0884739858077414
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	25000000	0.05	min	0.05	13746699	9373400	2514863	0.12204970620088991	480	211	63	0.10031847133757962
GM_set2_bio1_tec1_4DNFIR53NCUM_5kb.cool	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb.cool	bio	GM	5000	25000000	0.1	min	optimal	3630550	4356091	1202303	0.17721743816419525	851804	833834	131936	0.0849171848913112
