file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.0	min	optimal	21444730	32298409	7743772	0.16834518614136582	2188172	1964213	307744	0.08004492487074866
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.0	min	0.05	21444730	32298409	7743772	0.16834518614136582	895	490	99	0.07698289269051321
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.01	min	optimal	21127788	31791195	7183771	0.15707308845534595	2294505	3249668	442764	0.08679249203504365
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.01	min	0.05	21127788	31791195	7183771	0.15707308845534595	843	417	86	0.07325383304940375
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.05	min	optimal	16890764	26997188	5156120	0.13312357649387718	2024046	3103427	397687	0.08408139395735875
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.05	min	0.05	16890764	26997188	5156120	0.13312357649387718	624	293	64	0.07502930832356389
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.1	min	optimal	3650300	5526511	1392535	0.17889075361664977	861619	913272	112519	0.0676858128024293
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.1	min	0.05	3650300	5526511	1392535	0.17889075361664977	6	18	6	0.3333333333333333
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.25	min	optimal	3650161	5526265	1392476	0.17889066605001316	861558	913164	112488	0.06767278253242323
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	10000000	0.25	min	0.05	3650161	5526265	1392476	0.17889066605001316	6	18	6	0.3333333333333333
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.0	min	optimal	27283439	42026444	7767584	0.12621536936733546	2501687	2864193	457359	0.09317653932824164
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.0	min	0.05	27283439	42026444	7767584	0.12621536936733546	1756	882	192	0.07849550286181521
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.01	min	optimal	26783733	40867909	6759433	0.11100653287188185	2553643	3983083	590386	0.09928561098087227
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.01	min	0.05	26783733	40867909	6759433	0.11100653287188185	1662	732	170	0.0764388489208633
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.05	min	optimal	7944649	11902069	2338724	0.13358035192381262	1260989	1431600	195755	0.07840128739035114
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.05	min	0.05	7944649	11902069	2338724	0.13358035192381262	537	279	86	0.1178082191780822
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.1	min	optimal	3660317	5549304	1393123	0.1782285366157581	862475	915324	112883	0.06780101818950626
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.1	min	0.05	3660317	5549304	1393123	0.1782285366157581	25	47	25	0.5319148936170213
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.25	min	optimal	3660113	5548922	1393024	0.17822697537145227	862339	915157	112824	0.06777551373483785
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	100000000	0.25	min	0.05	3660113	5548922	1393024	0.17822697537145227	24	45	24	0.5333333333333333
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.0	min	optimal	23924113	36525340	7757689	0.14722773373083506	2391402	2292360	367839	0.08522835092285011
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.0	min	0.05	23924113	36525340	7757689	0.14722773373083506	1240	692	160	0.09029345372460497
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.01	min	optimal	23540306	35731468	7008722	0.13410472086475164	2428931	3706286	523743	0.09333430039950287
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.01	min	0.05	23540306	35731468	7008722	0.13410472086475164	1174	596	145	0.08923076923076922
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.05	min	optimal	16160582	18641135	3955043	0.12821618953148725	1938080	2115221	320090	0.08574120241261476
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.05	min	0.05	16160582	18641135	3955043	0.12821618953148725	827	328	100	0.0947867298578199
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.1	min	optimal	3655884	5539859	1392937	0.1785174461597533	862093	914420	112748	0.06776678196740525
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.1	min	0.05	3655884	5539859	1392937	0.1785174461597533	22	45	22	0.4888888888888889
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.25	min	optimal	3655740	5539607	1392878	0.17851759487926194	862017	914285	112715	0.06775419620374529
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	25000000	0.25	min	0.05	3655740	5539607	1392878	0.17851759487926194	22	45	22	0.4888888888888889
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.0	min	optimal	19908606	29648429	7731009	0.18483728289175738	2022578	1736826	261678	0.0748137504195583
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.0	min	0.05	19908606	29648429	7731009	0.18483728289175738	723	410	91	0.0873320537428023
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.01	min	optimal	19630235	29199052	7231745	0.1738502962506775	2234550	2895220	392966	0.082960156257257
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.01	min	0.05	19630235	29199052	7231745	0.1738502962506775	674	343	78	0.08306709265175719
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.05	min	optimal	16865161	26975459	5587565	0.1460684643357243	2032999	3098036	385611	0.08125954603845725
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.05	min	0.05	16865161	26975459	5587565	0.1460684643357243	506	236	57	0.08321167883211679
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.1	min	optimal	4051706	5515122	1426369	0.1752197265535027	906974	912624	115274	0.067636200628519
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.1	min	0.05	4051706	5515122	1426369	0.1752197265535027	63	17	5	0.06666666666666667
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.25	min	optimal	3645449	5514877	1392367	0.17924489560256432	861148	912516	112369	0.06763940179197554
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	5000000	0.25	min	0.05	3645449	5514877	1392367	0.17924489560256432	5	17	5	0.29411764705882354
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb.cool	tec	GM	5000	50000000	0.0	min	optimal	25967873	39907197	7765169	0.133629017884577	2458952	2751123	432840	0.09060471172131997
