file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	21444730	30799247	7482281	0.167158121086386	2188172	2333522	384392	0.09290885702808255
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	21444730	30799247	7482281	0.167158121086386	895	892	117	0.07005988023952096
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	21127788	30040323	6789677	0.15299496597829476	2294505	3093081	474947	0.09667858761858952
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	21127788	30040323	6789677	0.15299496597829476	843	803	107	0.06952566601689408
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	16890764	21255487	4517063	0.13431971655099137	2024046	2535543	385019	0.09222961885894834
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	16890764	21255487	4517063	0.13431971655099137	624	566	77	0.06918238993710692
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	3650300	5370800	1386031	0.18153483616192598	861619	930671	134361	0.08104146800013752
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	3650300	5370800	1386031	0.18153483616192598	6	13	6	0.46153846153846156
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	3650161	5370471	1385985	0.18153884521445457	861558	930517	134330	0.08103176302748613
GM_set2_bio1_tec2_4DNFI3YOU78V_5kb.cool	GM_set2_bio2_tec1_4DNFIUXFBVHA_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	3650161	5370471	1385985	0.18153884521445457	6	13	6	0.46153846153846156
