file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.0	min	optimal	55329145	34783642	14172521	0.18662722356015976	3013924	2180530	381697	0.07930942700826159
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.0	min	0.05	55329145	34783642	14172521	0.18662722356015976	4265	803	243	0.05036269430051814
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.01	min	optimal	54572119	33972278	13117780	0.17391446841636818	3360667	3778041	586766	0.08955604307852542
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.01	min	0.05	54572119	33972278	13117780	0.17391446841636818	3860	715	220	0.0505166475315729
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.05	min	optimal	49791823	20066045	7951360	0.1284414233152999	3233582	2406094	441169	0.08486455822796815
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.05	min	0.05	49791823	20066045	7951360	0.1284414233152999	2668	410	122	0.041271989174560215
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.1	min	optimal	14185119	5960071	2788635	0.16066754030393704	1653839	977667	163385	0.06619813210130297
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.1	min	0.05	14185119	5960071	2788635	0.16066754030393704	195	12	12	0.06153846153846154
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.25	min	optimal	12220202	5959912	2704082	0.17472708766691616	1574378	977601	158349	0.06615433462983
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.25	min	0.05	12220202	5959912	2704082	0.17472708766691616	17	12	12	0.7058823529411765
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.0	min	optimal	74989518	46190005	14278754	0.13357017104339072	3473390	3915283	657848	0.09773660732525359
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.0	min	0.05	74989518	46190005	14278754	0.13357017104339072	7898	1612	491	0.05444062534649074
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.01	min	optimal	73163789	44963053	12463147	0.1179510805485271	3852244	4338199	756927	0.10182624211745828
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.01	min	0.05	73163789	44963053	12463147	0.1179510805485271	6951	1412	438	0.05526813880126183
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.05	min	optimal	61567894	9618511	4694513	0.07060278868286678	3488797	1372581	336366	0.0743348304932672
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.05	min	0.05	61567894	9618511	4694513	0.07060278868286678	5382	230	88	0.015930485155684286
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.1	min	optimal	13430140	5992044	2724022	0.16313304422366964	1601655	980399	161293	0.06662904764245624
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.1	min	0.05	13430140	5992044	2724022	0.16313304422366964	126	43	42	0.33070866141732286
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.25	min	optimal	12934772	5991793	2705848	0.16681432762805737	1571819	980276	159450	0.06664172913240368
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.25	min	0.05	12934772	5991793	2705848	0.16681432762805737	48	43	42	0.8571428571428571
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.0	min	optimal	65005895	40330115	14243503	0.15636305848954185	3251677	2963294	505505	0.08853805242031391
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.0	min	0.05	65005895	40330115	14243503	0.15636305848954185	6068	1188	394	0.057417662489070244
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.01	min	optimal	64218240	39239897	12977284	0.14342574776566264	3512102	4034285	660365	0.09589934507906016
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.01	min	0.05	64218240	39239897	12977284	0.14342574776566264	5581	1059	360	0.05732484076433121
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.05	min	optimal	58739959	12728474	5662592	0.08604999060797658	3478171	1629540	367831	0.07760344143733597
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.05	min	0.05	58739959	12728474	5662592	0.08604999060797658	4151	352	139	0.031851512373968834
