file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.0	min	optimal	55329145	61562329	20893572	0.2176461314748316	3013924	3264546	626954	0.11093554366651355
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.0	min	0.05	55329145	61562329	20893572	0.2176461314748316	4265	4136	985	0.13282092772384035
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.01	min	optimal	54572119	60766059	19822451	0.20753075564194784	3360667	3852090	741987	0.11466749706758238
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.01	min	0.05	54572119	60766059	19822451	0.20753075564194784	3860	3763	912	0.1358962896736701
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.05	min	optimal	49791823	55486420	16355525	0.18392965676105402	3233582	3572650	754032	0.12458808367205314
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.05	min	0.05	49791823	55486420	16355525	0.18392965676105402	2668	2637	673	0.145293609671848
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.1	min	optimal	14185119	14523373	4991037	0.21043729185951865	1653839	1723520	307553	0.10018646129429677
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.1	min	0.05	14185119	14523373	4991037	0.21043729185951865	195	153	58	0.2
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.25	min	optimal	12220202	12353742	4342012	0.21461183242411055	1574378	1620355	281226	0.09652490967071642
IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.25	min	0.05	12220202	12353742	4342012	0.21461183242411055	17	14	13	0.7222222222222222
