file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.0	min	optimal	58865797	9749403	4974166	0.07815972946008388	3119210	962594	161453	0.041183302209419514
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.0	min	0.05	58865797	9749403	4974166	0.07815972946008388	5029	64	31	0.0061240616357171075
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.01	min	optimal	58107172	9745333	4825092	0.07655545056244019	3592656	961984	189979	0.04352663356902174
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.01	min	0.05	58107172	9745333	4825092	0.07655545056244019	4513	64	31	0.006819181698196217
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.05	min	optimal	55141555	1015656	858012	0.015515812444227266	3481103	327107	89955	0.024192800117259307
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.05	min	0.05	55141555	1015656	858012	0.015515812444227266	3163	7	7	0.002213088839709137
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.1	min	optimal	14815756	1015656	672673	0.044375261029298015	1678142	327107	46142	0.02355256757287887
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.1	min	0.05	14815756	1015656	672673	0.044375261029298015	212	7	7	0.0330188679245283
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.25	min	optimal	12672516	1015591	657113	0.050426928291118854	1574790	327078	43192	0.023238046867770392
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.25	min	0.05	12672516	1015591	657113	0.050426928291118854	17	7	7	0.4117647058823529
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.0	min	optimal	80572533	12353031	5002335	0.0568943504110842	3593837	968962	205082	0.04706179864364758
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.0	min	0.05	80572533	12353031	5002335	0.0568943504110842	9181	131	63	0.006811547194291274
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.01	min	optimal	79218949	12341129	4759041	0.05482700627182599	4301292	967346	232330	0.04613101502132117
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.01	min	0.05	79218949	12341129	4759041	0.05482700627182599	8480	131	63	0.007370145063172672
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.05	min	optimal	68243596	1017666	826165	0.012072241236101412	3884973	320110	101542	0.024744970258613233
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.05	min	0.05	68243596	1017666	826165	0.012072241236101412	6530	21	21	0.003215926493108729
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.1	min	optimal	13768615	1017661	660866	0.04678561542638408	1633416	320097	44181	0.02313950638233686
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.1	min	0.05	13768615	1017661	660866	0.04678561542638408	135	21	21	0.15555555555555556
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.25	min	optimal	13220836	1017570	657406	0.048406302923201534	1600206	320065	43247	0.023040195543583886
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.25	min	0.05	13220836	1017570	657406	0.048406302923201534	47	21	21	0.44680851063829785
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.0	min	optimal	69497892	11010174	4992905	0.06611791505019766	3425174	970162	187808	0.04463618542764303
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.0	min	0.05	69497892	11010174	4992905	0.06611791505019766	7075	112	60	0.008418689490669286
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.01	min	optimal	68273447	11001536	4775781	0.06410512960930777	4066217	968391	214906	0.044589063805189615
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.01	min	0.05	68273447	11001536	4775781	0.06410512960930777	6411	112	60	0.009283614420547733
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.05	min	optimal	62777333	1016990	849569	0.013497058070955366	3777427	319808	96660	0.0241615267805253
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.05	min	0.05	62777333	1016990	849569	0.013497058070955366	4943	19	19	0.0038438195427877805
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.1	min	optimal	14688574	1016990	667266	0.04437111167766459	1670581	319808	45321	0.02330047072904392
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.1	min	0.05	14688574	1016990	667266	0.04437111167766459	281	19	19	0.06761565836298933
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.25	min	optimal	12962637	1016923	657347	0.04934217760968091	1588483	319779	42834	0.022962022656462754
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	25000000	0.25	min	0.05	12962637	1016923	657347	0.04934217760968091	47	19	19	0.40425531914893614
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.0	min	optimal	52483987	8994150	4957993	0.08772081330861436	2825644	942750	136593	0.03761026554043022
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.0	min	0.05	52483987	8994150	4957993	0.08772081330861436	3963	56	28	0.007015785517414182
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.01	min	optimal	51742766	8990080	4812614	0.08606212506414494	3194606	941967	162698	0.040941901796105816
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.01	min	0.05	51742766	8990080	4812614	0.08606212506414494	3470	56	28	0.008004574042309892
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.05	min	optimal	48810228	1014640	860666	0.017577453830453522	3282260	318870	81427	0.023134622438313688
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.05	min	0.05	48810228	1014640	860666	0.017577453830453522	2269	7	7	0.003085059497576025
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.1	min	optimal	21424938	1014640	709909	0.03267003284771618	2068115	318870	54356	0.023302462586206378
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.1	min	0.05	21424938	1014640	709909	0.03267003284771618	808	7	7	0.008663366336633664
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.25	min	optimal	12473712	1014575	657098	0.05121099845072814	1596613	318841	42611	0.02275204061418923
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	5000000	0.25	min	0.05	12473712	1014575	657098	0.05121099845072814	16	7	7	0.4375
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.0	min	optimal	76904729	11899209	5000932	0.059674852236207374	3559276	967398	199893	0.04619901030350276
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.0	min	0.05	76904729	11899209	5000932	0.059674852236207374	8418	124	63	0.007430121476589221
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.01	min	optimal	75572804	11887307	4763248	0.05759889586138231	4238786	965749	226764	0.04555532988560543
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.01	min	0.05	75572804	11887307	4763248	0.05759889586138231	7699	124	63	0.008118556701030928
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.05	min	optimal	65299112	1017580	830523	0.012682418481374289	3804453	320060	99015	0.024596956699518918
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.05	min	0.05	65299112	1017580	830523	0.012682418481374289	5922	21	21	0.0035460992907801418
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.1	min	optimal	13690703	1017575	660859	0.04704486995084293	1629865	320047	44050	0.023112901143944316
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.1	min	0.05	13690703	1017575	660859	0.04704486995084293	135	21	21	0.15555555555555556
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.25	min	optimal	13142924	1017484	657399	0.0486853707940208	1596655	320015	43116	0.02301294758517769
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	50000000	0.25	min	0.05	13142924	1017484	657399	0.0486853707940208	47	21	21	0.44680851063829785
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.0	max	optimal	58865797	9749403	4974166	0.07815972946008388	2904023	962689	154158	0.041523436426783286
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.0	max	0.05	58865797	9749403	4974166	0.07815972946008388	1896	34	24	0.012591815320041973
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.01	max	optimal	58107172	9745333	4825092	0.07655545056244019	3235895	962102	173822	0.04319444358160368
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.01	max	0.05	58107172	9745333	4825092	0.07655545056244019	1748	34	24	0.013651877133105802
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.05	max	optimal	55141555	1015656	858012	0.015515812444227266	3370839	286292	79904	0.02233685477605978
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.05	max	0.05	55141555	1015656	858012	0.015515812444227266	1327	3	3	0.002260738507912585
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.1	max	optimal	14815756	1015656	672673	0.044375261029298015	1764925	286292	43340	0.02158498752662638
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.1	max	0.05	14815756	1015656	672673	0.044375261029298015	98	3	3	0.030612244897959183
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.25	max	optimal	12672516	1015591	657113	0.050426928291118854	1657057	286270	40312	0.021183227667674717
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	10000000	0.25	max	0.05	12672516	1015591	657113	0.050426928291118854	13	3	3	0.23076923076923078
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.0	max	optimal	80572533	12353031	5002335	0.0568943504110842	3716043	980634	203282	0.045240180309098134
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.0	max	0.05	80572533	12353031	5002335	0.0568943504110842	4522	88	57	0.01251921809795739
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.01	max	optimal	79218949	12341129	4759041	0.05482700627182599	4001170	975941	218892	0.04600292672531466
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.01	max	0.05	79218949	12341129	4759041	0.05482700627182599	4227	88	57	0.01338656646312823
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.05	max	optimal	68243596	1017666	826165	0.012072241236101412	3600539	287024	89936	0.023682157305074985
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.05	max	0.05	68243596	1017666	826165	0.012072241236101412	3397	9	9	0.0026493965263467765
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.1	max	optimal	13768615	1017661	660866	0.04678561542638408	1726151	287022	42231	0.021426810124295894
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	tec	IMR90	5000	100000000	0.1	max	0.05	13768615	1017661	660866	0.04678561542638408	87	9	9	0.10344827586206896
