file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.0	min	optimal	58865797	34783642	14640228	0.18529773699423477	3119210	2180530	397103	0.0809978385101732
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.0	min	0.05	58865797	34783642	14640228	0.18529773699423477	5029	803	280	0.05043227665706052
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.01	min	optimal	58107172	33972278	13591641	0.1731688165737943	3592656	3778041	616413	0.09126252316307694
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.01	min	0.05	58107172	33972278	13591641	0.1731688165737943	4513	715	256	0.05148833467417538
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.05	min	optimal	55141555	20066045	8243185	0.12309799167214408	3481103	2406094	467637	0.0862868941390076
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.05	min	0.05	55141555	20066045	8243185	0.12309799167214408	3163	410	140	0.040780658316341395
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.1	min	optimal	14815756	5960071	2874541	0.16057734623087971	1678142	977667	170661	0.06867236880861824
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.1	min	0.05	14815756	5960071	2874541	0.16057734623087971	212	12	11	0.051643192488262914
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.25	min	optimal	12672516	5959912	2790851	0.17617254898297058	1574790	977601	163787	0.06857017739231785
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	10000000	0.25	min	0.05	12672516	5959912	2790851	0.17617254898297058	17	12	11	0.6111111111111112
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.0	min	optimal	80572533	46190005	14756666	0.1317490390146688	3593837	3915283	688792	0.1009910373811934
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.0	min	0.05	80572533	46190005	14756666	0.1317490390146688	9181	1612	555	0.05420980660285212
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.01	min	optimal	79218949	44963053	13157713	0.118512022175616	4301292	4338199	811023	0.10359919718647377
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.01	min	0.05	79218949	44963053	13157713	0.118512022175616	8480	1412	498	0.05301256120928252
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.05	min	optimal	68243596	9618511	4861971	0.06660221838490822	3884973	1372581	361251	0.073780360406617
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.05	min	0.05	68243596	9618511	4861971	0.06660221838490822	6530	230	99	0.014862633238252515
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.1	min	optimal	13768615	5992044	2810428	0.16580470201261563	1633416	980399	168016	0.06869575136795787
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.1	min	0.05	13768615	5992044	2810428	0.16580470201261563	135	43	41	0.29927007299270075
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.25	min	optimal	13220836	5991793	2792702	0.17008004968597	1600206	980276	166012	0.06875711853947243
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	100000000	0.25	min	0.05	13220836	5991793	2792702	0.17008004968597	47	43	41	0.8367346938775511
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.0	min	optimal	69497892	40330115	14717833	0.15474509593474195	3425174	2963294	531997	0.09083917601572687
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.0	min	0.05	69497892	40330115	14717833	0.15474509593474195	7075	1188	432	0.05516536840761078
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.01	min	optimal	68273447	39239897	13269627	0.1408011846561612	4066217	4034285	718522	0.09733459044863302
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.01	min	0.05	68273447	39239897	13269627	0.1408011846561612	6411	1059	397	0.0561289410434045
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.05	min	optimal	62777333	12728474	5819383	0.08350813065110071	3777427	1629540	390467	0.07783653941991428
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.05	min	0.05	62777333	12728474	5819383	0.08350813065110071	4943	352	154	0.02995526162225248
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.1	min	optimal	14688574	5981231	2847735	0.1597869944400398	1670581	979478	170609	0.0688092117203412
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.1	min	0.05	14688574	5981231	2847735	0.1597869944400398	281	38	37	0.13120567375886524
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.25	min	optimal	12962637	5981070	2792054	0.17286490738749774	1588483	979411	165033	0.0686818754809371
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	25000000	0.25	min	0.05	12962637	5981070	2792054	0.17286490738749774	47	38	37	0.7708333333333334
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	5000000	0.0	min	optimal	52483987	31473937	14570327	0.20998460286785836	2825644	2048391	342919	0.07568091392937193
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	tec	IMR90	5000	5000000	0.0	min	0.05	52483987	31473937	14570327	0.20998460286785836	3963	642	218	0.04969227262366081
