file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.0	min	optimal	58865797	61562329	21689809	0.2196696243060331	3119210	3264546	657136	0.11475110972964855
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.0	min	0.05	58865797	61562329	21689809	0.2196696243060331	5029	4136	1085	0.1342821782178218
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.01	min	optimal	58107172	60766059	20596511	0.20957670341460316	3592656	3852090	784947	0.11786346705058216
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.01	min	0.05	58107172	60766059	20596511	0.20957670341460316	4513	3763	1001	0.13759450171821305
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.05	min	optimal	55141555	55486420	17096441	0.18278798891505404	3481103	3572650	797860	0.1275373475857084
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.05	min	0.05	55141555	55486420	17096441	0.18278798891505404	3163	2637	728	0.14353312302839116
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.1	min	optimal	14815756	14523373	5185489	0.21468768268468025	1678142	1723520	322125	0.10460176318712845
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.1	min	0.05	14815756	14523373	5185489	0.21468768268468025	212	153	52	0.16613418530351437
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.25	min	optimal	12672516	12353742	4510091	0.21983107273400534	1574790	1620355	290743	0.10010425554038319
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	10000000	0.25	min	0.05	12672516	12353742	4510091	0.21983107273400534	17	14	14	0.8235294117647058
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.0	min	optimal	80572533	85487266	21924959	0.1521142216552223	3593837	3856233	845911	0.1280876187263208
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.0	min	0.05	80572533	85487266	21924959	0.1521142216552223	9181	8232	2224	0.14642175258410692
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.01	min	optimal	79218949	83112546	19535129	0.13680410466468032	4301292	4735947	1002372	0.12475278059985312
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.01	min	0.05	79218949	83112546	19535129	0.13680410466468032	8480	7207	2028	0.1484735339336701
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.05	min	optimal	68243596	58038752	13965908	0.12434429011460833	3884973	3744722	843099	0.12423002636373227
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.05	min	0.05	68243596	58038752	13965908	0.12434429011460833	6530	4879	1422	0.14238510063082008
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.1	min	optimal	13768615	13031560	4653403	0.21011653526753243	1633416	1649715	302638	0.1015395775128477
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.1	min	0.05	13768615	13031560	4653403	0.21011653526753243	135	116	68	0.37158469945355194
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.25	min	optimal	13220836	12484027	4513547	0.2129904060701091	1600206	1627183	294270	0.10032664886763885
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	tec	IMR90	5000	100000000	0.25	min	0.05	13220836	12484027	4513547	0.2129904060701091	47	46	45	0.9375
