file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.0	min	optimal	58865797	59590271	21690345	0.22415318490412148	3119210	3026548	567033	0.1016420418644045
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.0	min	0.05	58865797	59590271	21690345	0.22415318490412148	5029	2770	666	0.09336884901163606
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.01	min	optimal	58107172	58758901	20543060	0.21327260599707362	3592656	3269814	659980	0.1064056532134675
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.01	min	0.05	58107172	58758901	20543060	0.21327260599707362	4513	2392	595	0.09429477020602219
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.05	min	optimal	55141555	55847642	17339396	0.18515144522303897	3481103	3351747	698038	0.11378311185412039
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.05	min	0.05	55141555	55847642	17339396	0.18515144522303897	3163	1531	386	0.08960074280408542
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.1	min	optimal	14815756	15432803	5124118	0.20394953264830848	1678142	1589705	270437	0.09022355967318452
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.1	min	0.05	14815756	15432803	5124118	0.20394953264830848	212	135	33	0.10509554140127389
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.25	min	optimal	12672516	12367051	4373368	0.21161936938669756	1574790	1461285	238991	0.08544291126044123
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.25	min	0.05	12672516	12367051	4373368	0.21161936938669756	17	13	12	0.6666666666666666
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.0	min	optimal	80572533	80023473	21893735	0.15784698290916951	3593837	3295490	708308	0.11459404994548633
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.0	min	0.05	80572533	80023473	21893735	0.15784698290916951	9181	5243	1325	0.10115275975265288
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.01	min	optimal	79218949	78788868	20155231	0.14620858109981338	4301292	4062871	848543	0.11290392542464893
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.01	min	0.05	79218949	78788868	20155231	0.14620858109981338	8480	4729	1218	0.10157618213660245
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.05	min	optimal	68243596	67051665	15741569	0.13166945107809802	3884973	3671899	778759	0.11489318634847191
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.05	min	0.05	68243596	67051665	15741569	0.13166945107809802	6530	3344	940	0.10521602865457802
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.1	min	optimal	13768615	12927541	4506412	0.20308535330556315	1633416	1492054	249395	0.0867136635866589
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.1	min	0.05	13768615	12927541	4506412	0.20308535330556315	135	77	50	0.30864197530864196
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.25	min	optimal	13220836	12471971	4376267	0.20529912452959065	1600206	1465639	241643	0.08556151436759835
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.25	min	0.05	13220836	12471971	4376267	0.20529912452959065	47	41	40	0.8333333333333334
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.0	min	optimal	69497892	70088026	21831341	0.18539696338087988	3425174	3205005	654085	0.10945025295786846
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.0	min	0.05	69497892	70088026	21831341	0.18539696338087988	7075	4034	1032	0.10241143197380173
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.01	min	optimal	68273447	69220632	20343999	0.17365757667429677	4066217	3579040	752765	0.10921521562883207
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.01	min	0.05	68273447	69220632	20343999	0.17365757667429677	6411	3618	926	0.10172470614083269
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.05	min	optimal	62777333	63012718	16859682	0.15477485438427185	3777427	3611257	759720	0.11460614358442738
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.05	min	0.05	62777333	63012718	16859682	0.15477485438427185	4943	2524	694	0.1024656725232541
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.1	min	optimal	14688574	13986872	4806709	0.2013809528338261	1670581	1532497	262161	0.08914260416053904
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.1	min	0.05	14688574	13986872	4806709	0.2013809528338261	281	144	71	0.20056497175141244
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.25	min	optimal	12962637	12440747	4375235	0.2080656266987646	1588483	1464292	240509	0.08552142649379539
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.25	min	0.05	12962637	12440747	4375235	0.2080656266987646	47	41	40	0.8333333333333334
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.0	min	optimal	52483987	53333046	21563183	0.2559311295566909	2825644	2729719	480448	0.09467114227528935
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.0	min	0.05	52483987	53333046	21563183	0.2559311295566909	3963	2143	496	0.08841354723707665
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.01	min	optimal	51742766	52591991	20487406	0.2443417204677104	3194606	2975302	575361	0.10284317926009023
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.01	min	0.05	51742766	52591991	20487406	0.2443417204677104	3470	1768	417	0.0864965774735532
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.05	min	optimal	48810228	49608976	17256107	0.21261025808317788	3282260	3141392	645133	0.11164331206663852
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.05	min	0.05	48810228	49608976	17256107	0.21261025808317788	2269	1051	259	0.08461287161058477
IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.1	min	optimal	21424938	24103370	7679684	0.20290523639644073	2068115	2076229	369576	0.09790694421484976
