file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.0	min	optimal	9749403	59590271	4989399	0.07753500664915573	962594	3026548	120122	0.031047138551881355
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.0	min	0.05	9749403	59590271	4989399	0.07753500664915573	64	2770	27	0.009618810117563235
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.01	min	optimal	9745333	58758901	4834308	0.07592765224825297	961984	3269814	135006	0.03295407723897137
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.01	min	0.05	9745333	58758901	4834308	0.07592765224825297	64	2392	27	0.011115685467270481
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.05	min	optimal	1015656	55847642	852642	0.015222853308484729	327107	3351747	60538	0.016730987564380777
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.05	min	0.05	1015656	55847642	852642	0.015222853308484729	7	1531	7	0.0045721750489875895
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.1	min	optimal	1015656	15432803	645314	0.04083453008878929	327107	1589705	28934	0.015326202222813126
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.1	min	0.05	1015656	15432803	645314	0.04083453008878929	7	135	7	0.05185185185185185
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.25	min	optimal	1015591	12367051	621942	0.04873886228811899	327078	1461285	25854	0.014668861265389284
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.25	min	0.05	1015591	12367051	621942	0.04873886228811899	7	13	7	0.5384615384615384
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.0	min	optimal	12353031	80023473	5014361	0.05739741297326005	968962	3295490	147703	0.03587855368398705
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.0	min	0.05	12353031	80023473	5014361	0.05739741297326005	131	5243	60	0.011290929619872036
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.01	min	optimal	12341129	78788868	4793711	0.055523711084815484	967346	4062871	170800	0.035148249265292524
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.01	min	0.05	12341129	78788868	4793711	0.055523711084815484	131	4729	60	0.0125
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.05	min	optimal	1017666	67051665	824443	0.012260307430358126	320110	3671899	67849	0.01729006972192775
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.05	min	0.05	1017666	67051665	824443	0.012260307430358126	21	3344	21	0.0062799043062200955
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.1	min	optimal	1017661	12927541	625581	0.04696687691038656	320097	1492054	26108	0.014617789157371911
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.1	min	0.05	1017661	12927541	625581	0.04696687691038656	21	77	21	0.2727272727272727
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.25	min	optimal	1017570	12471971	622186	0.048353838065398835	320065	1465639	25364	0.014408580160650783
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.25	min	0.05	1017570	12471971	622186	0.048353838065398835	21	41	21	0.5121951219512195
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.0	min	optimal	11010174	70088026	5006619	0.06579727920228126	970162	3205005	136401	0.03377293955629021
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.0	min	0.05	11010174	70088026	5006619	0.06579727920228126	112	4034	57	0.013939838591342627
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.01	min	optimal	11001536	69220632	4838662	0.06418727725399241	968391	3579040	153809	0.035007335633333955
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.01	min	0.05	11001536	69220632	4838662	0.06418727725399241	112	3618	57	0.015518649605227334
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.05	min	optimal	1016990	63012718	845568	0.013382598861043293	319808	3611257	64728	0.016741427351004323
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.05	min	0.05	1016990	63012718	845568	0.013382598861043293	19	2524	19	0.007527733755942948
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.1	min	optimal	1016990	13986872	631724	0.04395476859462385	319808	1532497	27156	0.014878785238903782
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.1	min	0.05	1016990	13986872	631724	0.04395476859462385	19	144	19	0.13194444444444445
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.25	min	optimal	1016923	12440747	622154	0.048471288571491786	319779	1464292	25326	0.014400040938282696
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	25000000	0.25	min	0.05	1016923	12440747	622154	0.048471288571491786	19	41	19	0.4634146341463415
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.0	min	optimal	8994150	53333046	4974468	0.08673463623212482	942750	2729719	100485	0.028131425000783878
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.0	min	0.05	8994150	53333046	4974468	0.08673463623212482	56	2143	26	0.011965025310630465
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.01	min	optimal	8990080	52591991	4831477	0.08513526748283903	941967	2975302	116410	0.030627287147457983
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.01	min	0.05	8990080	52591991	4831477	0.08513526748283903	56	1768	26	0.014460511679644048
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.05	min	optimal	1014640	49608976	854102	0.017161148087562198	318870	3141392	53968	0.015843611854995488
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.05	min	0.05	1014640	49608976	854102	0.017161148087562198	7	1051	7	0.006660323501427212
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.1	min	optimal	1014640	24103370	693791	0.028405862230436108	318870	2076229	37379	0.015853875778294283
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.1	min	0.05	1014640	24103370	693791	0.028405862230436108	7	406	7	0.017241379310344827
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.25	min	optimal	1014575	12302046	621932	0.04899151133202239	318841	1459015	25177	0.014364866584240469
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	5000000	0.25	min	0.05	1014575	12302046	621932	0.04899151133202239	7	13	7	0.5384615384615384
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.0	min	optimal	11899209	76867300	5013299	0.05985799230859331	967398	3272678	144175	0.0351998253864046
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.0	min	0.05	11899209	76867300	5013299	0.05985799230859331	124	4838	60	0.012239902080783354
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.01	min	optimal	11887307	75650837	4797437	0.05798158094056412	965749	4020683	166953	0.034641296289495194
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.01	min	0.05	11887307	75650837	4797437	0.05798158094056412	124	4312	60	0.013711151736745886
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.05	min	optimal	1017580	68989892	833605	0.012050865972260882	320060	3766595	68429	0.01702965437981836
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.05	min	0.05	1017580	68989892	833605	0.012050865972260882	21	3136	21	0.006696428571428571
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.1	min	optimal	1017575	12922937	625575	0.046982948548686336	320047	1491840	26100	0.014615404860714071
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.1	min	0.05	1017575	12922937	625575	0.046982948548686336	21	77	21	0.2727272727272727
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.25	min	optimal	1017484	12467367	622180	0.048370979868800186	320015	1465425	25356	0.014406130616493304
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	50000000	0.25	min	0.05	1017484	12467367	622180	0.048370979868800186	21	41	21	0.5121951219512195
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.0	max	optimal	9749403	59590271	4989399	0.07753500664915573	962689	2808666	113860	0.03113059621407548
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.0	max	0.05	9749403	59590271	4989399	0.07753500664915573	34	1025	22	0.021215043394406944
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.01	max	optimal	9745333	58758901	4834308	0.07592765224825297	962102	3100787	126668	0.03218010370860783
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.01	max	0.05	9745333	58758901	4834308	0.07592765224825297	34	930	22	0.02335456475583864
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.05	max	optimal	1015656	55847642	852642	0.015222853308484729	286292	3282143	53050	0.01509080797693567
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.05	max	0.05	1015656	55847642	852642	0.015222853308484729	3	648	3	0.004629629629629629
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.1	max	optimal	1015656	15432803	645314	0.04083453008878929	286292	1656411	26721	0.013946373191397413
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.1	max	0.05	1015656	15432803	645314	0.04083453008878929	3	66	3	0.045454545454545456
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.25	max	optimal	1015591	12367051	621942	0.04873886228811899	286270	1520578	23591	0.01322916438853177
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.25	max	0.05	1015591	12367051	621942	0.04873886228811899	3	9	3	0.3333333333333333
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.0	max	optimal	12353031	80023473	5014361	0.05739741297326005	980634	3432405	146664	0.03437672497143359
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.0	max	0.05	12353031	80023473	5014361	0.05739741297326005	88	2450	53	0.021327967806841045
IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	100000000	0.01	max	optimal	12341129	78788868	4793711	0.055523711084815484	975941	3821469	159766	0.03444981977918098
