file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.0	min	optimal	34783642	60666390	15042207	0.18707391973355827	2180530	3018242	355527	0.07340677582901546
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.0	min	0.05	34783642	60666390	15042207	0.18707391973355827	803	3486	170	0.04127215343529983
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.01	min	optimal	33972278	59795241	13929509	0.1744721467882278	3778041	3329137	556486	0.08495071971022299
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.01	min	0.05	33972278	59795241	13929509	0.1744721467882278	715	2998	150	0.042099354476564696
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.05	min	optimal	20066045	56721648	8369575	0.12232980451172305	2406094	3479829	432319	0.07927216570913473
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.05	min	0.05	20066045	56721648	8369575	0.12232980451172305	410	1961	80	0.034919249236141425
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.1	min	optimal	5960071	15833812	2935997	0.1556906749780967	977667	1663606	150418	0.06038809966858769
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.1	min	0.05	5960071	15833812	2935997	0.1556906749780967	12	162	10	0.06097560975609756
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.25	min	optimal	5959912	12682949	2804731	0.17708725714462503	977601	1527915	141099	0.05967602161547646
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	10000000	0.25	min	0.05	5959912	12682949	2804731	0.17708725714462503	12	10	10	0.8333333333333334
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.0	min	optimal	46190005	81662819	15151597	0.13444039078651734	3915283	3433824	635876	0.0947198152424667
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.0	min	0.05	46190005	81662819	15151597	0.13444039078651734	1612	6521	359	0.04617957293542578
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.01	min	optimal	44963053	80467538	13602340	0.12163598981799331	4338199	4227137	760781	0.09747910034588775
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.01	min	0.05	44963053	80467538	13602340	0.12163598981799331	1412	5931	311	0.044226393629124006
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.05	min	optimal	9618511	73194213	4994736	0.06418485145105525	1372581	4017340	336949	0.06668333012729934
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.05	min	0.05	9618511	73194213	4994736	0.06418485145105525	230	4526	71	0.015154749199573105
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.1	min	optimal	5992044	13270518	2825480	0.17189669066565463	980399	1561471	143669	0.05990698861354824
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.1	min	0.05	5992044	13270518	2825480	0.17189669066565463	43	83	38	0.4318181818181818
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.25	min	optimal	5991793	12792541	2806165	0.17562494175646784	980276	1532602	141812	0.0598093853144535
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	100000000	0.25	min	0.05	5991793	12792541	2806165	0.17562494175646784	43	41	38	0.8260869565217391
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	25000000	0.0	min	optimal	40330115	71429391	15117305	0.15642550400937164	2963294	3358225	491486	0.08430243876835689
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	25000000	0.0	min	0.05	40330115	71429391	15117305	0.15642550400937164	1188	5060	281	0.047092341209988266
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	25000000	0.01	min	optimal	39239897	70530666	13783304	0.14359514110096633	4034285	3756013	655475	0.09186983335115671
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	25000000	0.01	min	0.05	39239897	70530666	13783304	0.14359514110096633	1059	4550	254	0.047432306255835666
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	25000000	0.05	min	optimal	12728474	64128961	5882727	0.08288483553887957	1629540	3755348	359392	0.07151373715151699
IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	bio	IMR90	5000	25000000	0.05	min	0.05	12728474	64128961	5882727	0.08288483553887957	352	3263	109	0.031089560752994867
