file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.0	min	optimal	61562329	59590271	22132703	0.223517734016629	3264546	3026548	604192	0.10624273110385936
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.0	min	0.05	61562329	59590271	22132703	0.223517734016629	4136	2770	575	0.0908229347654399
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.01	min	optimal	60766059	58758901	20976619	0.21285613524432645	3852090	3269814	698630	0.10876540530576774
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.01	min	0.05	60766059	58758901	20976619	0.21285613524432645	3763	2392	528	0.09383330371423494
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.05	min	optimal	55486420	55847642	17383958	0.18503394099489234	3572650	3351747	725230	0.11698829858914915
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.05	min	0.05	55486420	55847642	17383958	0.18503394099489234	2637	1531	375	0.09886633271816504
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.1	min	optimal	14523373	15432803	5214134	0.21073984111739846	1723520	1589705	280745	0.09257934100142458
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.1	min	0.05	14523373	15432803	5214134	0.21073984111739846	153	135	36	0.14285714285714285
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.25	min	optimal	12353742	12367051	4469089	0.22067718351008883	1620355	1461285	248423	0.08768230601468224
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_5kb.cool	IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	bio	IMR90	5000	10000000	0.25	min	0.05	12353742	12367051	4469089	0.22067718351008883	14	13	12	0.8
