file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.0	min	optimal	59590271	60666390	22759968	0.2334434871549951	3026548	3018242	594900	0.10915816649510357
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.0	min	0.05	59590271	60666390	22759968	0.2334434871549951	2770	3486	569	0.10005275189027607
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.01	min	optimal	58758901	59795241	21563497	0.22232553459150622	3269814	3329137	682421	0.11534142478784017
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.01	min	0.05	58758901	59795241	21563497	0.22232553459150622	2392	2998	492	0.1004491629236423
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.05	min	optimal	55847642	56721648	18275335	0.1938123711111704	3351747	3479829	744282	0.12226812110602839
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.05	min	0.05	55847642	56721648	18275335	0.1938123711111704	1531	1961	345	0.109628217349857
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.1	min	optimal	15432803	15833812	5658846	0.22098160913588372	1589705	1663606	288945	0.09747278170104501
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.1	min	0.05	15432803	15833812	5658846	0.22098160913588372	135	162	46	0.18326693227091634
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.25	min	optimal	12367051	12682949	4656792	0.22835014481292007	1461285	1527915	248897	0.09082827701900119
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	10000000	0.25	min	0.05	12367051	12682949	4656792	0.22835014481292007	13	10	10	0.7692307692307693
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.0	min	optimal	80023473	81662819	22962882	0.16552997075259324	3295490	3433824	746143	0.1247069488737661
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.0	min	0.05	80023473	81662819	22962882	0.16552997075259324	5243	6521	1116	0.1048084147257701
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.01	min	optimal	78788868	80467538	21335477	0.15469354183366907	4062871	4227137	901953	0.12208260496165771
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.01	min	0.05	78788868	80467538	21335477	0.15469354183366907	4729	5931	1005	0.10409114448472294
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.05	min	optimal	67051665	73194213	16802284	0.13611304933328497	3671899	4017340	830673	0.12111467615825232
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.05	min	0.05	67051665	73194213	16802284	0.13611304933328497	3344	4526	783	0.11048398476082968
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.1	min	optimal	12927541	13270518	4785538	0.223492507024278	1492054	1561471	257367	0.09204308197176268
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.1	min	0.05	12927541	13270518	4785538	0.223492507024278	77	83	50	0.45454545454545453
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.25	min	optimal	12471971	12792541	4659138	0.22611276068078162	1465639	1532602	249922	0.09093631416149289
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	100000000	0.25	min	0.05	12471971	12792541	4659138	0.22611276068078162	41	41	38	0.8636363636363636
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.0	min	optimal	70088026	71429391	22903804	0.19309591387288744	3205005	3358225	697193	0.11885247229091804
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.0	min	0.05	70088026	71429391	22903804	0.19309591387288744	4034	5060	850	0.10310528869480834
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.01	min	optimal	69220632	70530666	21661967	0.1834371218514228	3579040	3756013	781803	0.11930004196391103
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.01	min	0.05	69220632	70530666	21661967	0.1834371218514228	3618	4550	768	0.10378378378378378
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.05	min	optimal	63012718	64128961	17756822	0.1623334571804578	3611257	3755348	804056	0.12252190421740089
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.05	min	0.05	63012718	64128961	17756822	0.1623334571804578	2524	3263	588	0.11309867282169649
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.1	min	optimal	13986872	15167795	5135660	0.21381649957469098	1532497	1630424	273506	0.0946579151835233
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.1	min	0.05	13986872	15167795	5135660	0.21381649957469098	144	186	70	0.2692307692307692
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.25	min	optimal	12440747	12759858	4658402	0.22677226975120438	1464292	1531240	249613	0.09090326408025874
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	25000000	0.25	min	0.05	12440747	12759858	4658402	0.22677226975120438	41	38	37	0.8809523809523809
IMR90_set1_bio2_tec1_4DNFIPAEWHQC_5kb.cool	IMR90_set1_bio2_tec2_4DNFIHUVCM35_5kb.cool	tec	IMR90	5000	5000000	0.0	min	optimal	53333046	54268641	22630439	0.26633054748119034	2729719	2845120	515797	0.1019554690393952
