	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	7824.232051849365
0	5000000.0	0.01	7204.93923330307
0	5000000.0	0.05	5384.40025305748
0	5000000.0	0.1	3922.140069961548
0	5000000.0	0.25	2869.406814813614
0	10000000.0	0.0	3289.7632892131805
0	10000000.0	0.01	3170.693266391754
0	10000000.0	0.05	3199.454026222229
0	10000000.0	0.1	2978.1474623680115
0	10000000.0	0.25	2648.9193251132965
0	25000000.0	0.0	3844.0039489269257
0	25000000.0	0.01	3771.382221698761
0	25000000.0	0.05	3557.5814695358276
0	25000000.0	0.1	3420.6785922050476
0	25000000.0	0.25	2714.5515809059143
0	50000000.0	0.0	3987.8347079753876
0	50000000.0	0.01	3877.949307203293
0	50000000.0	0.05	3636.823527097702
0	50000000.0	0.1	3500.7846529483795
0	50000000.0	0.25	2580.285415172577
0	100000000.0	0.0	4101.117646932602
0	100000000.0	0.01	3910.934934616089
0	100000000.0	0.05	4101.9334836006165
0	100000000.0	0.1	3402.945689678192
0	100000000.0	0.25	2919.395578622818
