	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	1954.3305325508118
0	5000000.0	0.01	1888.4372234344482
0	5000000.0	0.05	1645.7163512706757
0	5000000.0	0.1	1656.6273801326752
0	5000000.0	0.25	1399.6876986026764
0	10000000.0	0.0	2016.5999817848206
0	10000000.0	0.01	2000.4675300121307
0	10000000.0	0.05	1698.598997592926
0	10000000.0	0.1	1395.2699611186981
0	10000000.0	0.25	1035.2684280872345
0	25000000.0	0.0	1598.169197320938
0	25000000.0	0.01	1454.4733862876892
0	25000000.0	0.05	1327.785400390625
0	25000000.0	0.1	869.1094243526459
0	25000000.0	0.25	772.5604021549225
0	50000000.0	0.0	1333.1993589401245
0	50000000.0	0.01	1194.7742385864258
0	50000000.0	0.05	998.616311788559
0	50000000.0	0.1	634.6373562812805
0	50000000.0	0.25	656.1757142543793
0	100000000.0	0.0	1194.9461929798126
0	100000000.0	0.01	1143.0597467422485
0	100000000.0	0.05	1069.973782300949
0	100000000.0	0.1	698.5190601348877
0	100000000.0	0.25	697.5307374000549
