	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	867.0478515625
0	5000000.0	0.01	838.9225196838379
0	5000000.0	0.05	817.007143497467
0	5000000.0	0.1	615.925374507904
0	5000000.0	0.25	586.351175069809
0	10000000.0	0.0	887.0651378631592
0	10000000.0	0.01	842.2157099246979
0	10000000.0	0.05	656.9978640079498
0	10000000.0	0.1	579.8898968696594
0	10000000.0	0.25	616.1199367046356
0	25000000.0	0.0	1139.02969956398
0	25000000.0	0.01	1021.1198406219482
0	25000000.0	0.05	654.8896927833557
0	25000000.0	0.1	600.305184841156
0	25000000.0	0.25	575.7200384140015
0	50000000.0	0.0	1143.9906725883484
0	50000000.0	0.01	968.6144044399261
0	50000000.0	0.05	599.5438077449799
0	50000000.0	0.1	551.157509803772
0	50000000.0	0.25	571.8854131698608
0	100000000.0	0.0	931.2615575790405
0	100000000.0	0.01	815.4382059574127
0	100000000.0	0.05	513.8707582950592
0	100000000.0	0.1	493.7511959075928
0	100000000.0	0.25	425.89483308792114
