	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	1019.0658752918243
0	5000000.0	0.01	975.000839471817
0	5000000.0	0.05	948.3093109130859
0	5000000.0	0.1	941.4819905757904
0	5000000.0	0.25	652.8977520465851
0	10000000.0	0.0	963.46719622612
0	10000000.0	0.01	989.9813044071198
0	10000000.0	0.05	1061.7029881477356
0	10000000.0	0.1	1063.3872299194336
0	10000000.0	0.25	768.057963848114
0	25000000.0	0.0	1087.2044441699982
0	25000000.0	0.01	1104.7958498001099
0	25000000.0	0.05	1115.8849697113037
0	25000000.0	0.1	892.6461431980133
0	25000000.0	0.25	649.054892539978
0	50000000.0	0.0	1091.0225355625153
0	50000000.0	0.01	988.7184176445007
0	50000000.0	0.05	867.9480288028717
0	50000000.0	0.1	618.5626354217529
0	50000000.0	0.25	517.8430418968201
0	100000000.0	0.0	879.2458667755127
0	100000000.0	0.01	825.9953827857971
0	100000000.0	0.05	807.4106266498566
0	100000000.0	0.1	530.4672145843506
0	100000000.0	0.25	506.2252788543701
