	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	548.0257308483124
0	5000000.0	0.01	538.317304611206
0	5000000.0	0.05	509.4012961387634
0	5000000.0	0.1	387.1351628303528
0	5000000.0	0.25	394.6949734687805
0	10000000.0	0.0	630.7975897789001
0	10000000.0	0.01	567.7696056365967
0	10000000.0	0.05	522.7673606872559
0	10000000.0	0.1	372.9899163246155
0	10000000.0	0.25	365.1371829509735
0	25000000.0	0.0	557.5044143199921
0	25000000.0	0.01	543.0829041004181
0	25000000.0	0.05	530.8089513778687
0	25000000.0	0.1	417.683162689209
0	25000000.0	0.25	430.4944133758545
0	50000000.0	0.0	744.3780353069305
0	50000000.0	0.01	674.9093856811523
0	50000000.0	0.05	590.3204612731934
0	50000000.0	0.1	407.4338207244873
0	50000000.0	0.25	378.4730932712555
0	100000000.0	0.0	644.7189562320709
0	100000000.0	0.01	600.5438253879547
0	100000000.0	0.05	560.8417587280273
0	100000000.0	0.1	454.0246593952179
0	100000000.0	0.25	437.95934104919434
