	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	1564.2232809066772
0	5000000.0	0.01	1492.4741311073303
0	5000000.0	0.05	1351.8023345470428
0	5000000.0	0.1	956.1191868782043
0	5000000.0	0.25	960.896283864975
0	10000000.0	0.0	1721.7415959835052
0	10000000.0	0.01	1706.2868509292603
0	10000000.0	0.05	1413.9338881969452
0	10000000.0	0.1	1082.6615409851074
0	10000000.0	0.25	1006.3810288906097
0	25000000.0	0.0	1539.7657458782196
0	25000000.0	0.01	1403.2271485328674
0	25000000.0	0.05	1096.6248507499695
0	25000000.0	0.1	788.204735994339
0	25000000.0	0.25	733.1988654136658
0	50000000.0	0.0	1245.0601212978363
0	50000000.0	0.01	1139.6611983776093
0	50000000.0	0.05	832.0653018951416
0	50000000.0	0.1	623.0233554840088
0	50000000.0	0.25	633.7951014041901
0	100000000.0	0.0	1059.3218472003937
0	100000000.0	0.01	933.0684623718262
0	100000000.0	0.05	643.4513959884644
0	100000000.0	0.1	506.7220106124878
0	100000000.0	0.25	532.0273208618164
