	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	1620.9721817970276
0	5000000.0	0.01	1551.057762145996
0	5000000.0	0.05	1402.253829717636
0	5000000.0	0.1	1000.2807476520538
0	5000000.0	0.25	1003.6621775627136
0	10000000.0	0.0	1788.6760158538818
0	10000000.0	0.01	1643.170179605484
0	10000000.0	0.05	1475.826414346695
0	10000000.0	0.1	1143.5350756645203
0	10000000.0	0.25	994.4215717315674
0	25000000.0	0.0	1580.151073217392
0	25000000.0	0.01	1375.9407773017883
0	25000000.0	0.05	1111.8381702899933
0	25000000.0	0.1	761.02712225914
0	25000000.0	0.25	772.7087736129761
0	50000000.0	0.0	1282.416318655014
0	50000000.0	0.01	1175.1037592887878
0	50000000.0	0.05	808.6687335968018
0	50000000.0	0.1	662.3890602588654
0	50000000.0	0.25	639.4277555942535
0	100000000.0	0.0	1096.1590549945831
0	100000000.0	0.01	941.6953241825104
0	100000000.0	0.05	617.3325543403625
0	100000000.0	0.1	549.5001237392426
0	100000000.0	0.25	566.3275392055511
