	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	1737.4963431358337
0	5000000.0	0.01	1398.3759214878082
0	5000000.0	0.05	1505.392683506012
0	5000000.0	0.1	1022.4909944534302
0	5000000.0	0.25	967.9027400016785
0	10000000.0	0.0	1823.143619298935
0	10000000.0	0.01	1685.884126663208
0	10000000.0	0.05	1504.3829135894775
0	10000000.0	0.1	921.0955722332001
0	10000000.0	0.25	847.7594773769379
0	25000000.0	0.0	1226.1327664852142
0	25000000.0	0.01	1060.7188510894775
0	25000000.0	0.05	926.6559360027313
0	25000000.0	0.1	665.7998769283295
0	25000000.0	0.25	638.572824716568
0	50000000.0	0.0	1067.1157999038696
0	50000000.0	0.01	1035.5785245895386
0	50000000.0	0.05	981.8607714176178
0	50000000.0	0.1	667.9101629257202
0	50000000.0	0.25	605.9363548755646
0	100000000.0	0.0	1086.1036224365234
0	100000000.0	0.01	904.2052302360535
0	100000000.0	0.05	729.3330035209656
0	100000000.0	0.1	516.5596113204956
0	100000000.0	0.25	418.5324592590332
