	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	543.7926495075226
0	5000000.0	0.01	524.4662637710571
0	5000000.0	0.05	516.9196507930756
0	5000000.0	0.1	389.40760231018066
0	5000000.0	0.25	311.850709438324
0	10000000.0	0.0	438.88570404052734
0	10000000.0	0.01	450.0246584415436
0	10000000.0	0.05	505.94751930236816
0	10000000.0	0.1	423.8713300228119
0	10000000.0	0.25	391.05366706848145
0	25000000.0	0.0	526.6502821445465
0	25000000.0	0.01	479.61920523643494
0	25000000.0	0.05	465.9888815879822
0	25000000.0	0.1	333.9897072315216
0	25000000.0	0.25	374.95628452301025
0	50000000.0	0.0	604.7276356220245
0	50000000.0	0.01	609.8965685367584
0	50000000.0	0.05	583.3605136871338
0	50000000.0	0.1	362.03175950050354
0	50000000.0	0.25	378.51496624946594
0	100000000.0	0.0	605.052015542984
0	100000000.0	0.01	571.243647813797
0	100000000.0	0.05	595.6963868141174
0	100000000.0	0.1	400.18449306488037
0	100000000.0	0.25	344.62120747566223
