	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	906.8035252094269
0	5000000.0	0.01	828.7488715648651
0	5000000.0	0.05	662.111382484436
0	5000000.0	0.1	468.90674090385437
0	5000000.0	0.25	606.1604292392731
0	10000000.0	0.0	839.0209450721741
0	10000000.0	0.01	806.3977217674255
0	10000000.0	0.05	729.2234554290771
0	10000000.0	0.1	537.4369535446167
0	10000000.0	0.25	604.2646629810333
0	25000000.0	0.0	1002.7864212989807
0	25000000.0	0.01	858.9740676879883
0	25000000.0	0.05	673.962240934372
0	25000000.0	0.1	578.7924659252167
0	25000000.0	0.25	551.1753263473511
0	50000000.0	0.0	920.5999267101288
0	50000000.0	0.01	770.0038709640503
0	50000000.0	0.05	528.3060190677643
0	50000000.0	0.1	438.9905288219452
0	50000000.0	0.25	413.08413529396057
0	100000000.0	0.0	653.473397731781
0	100000000.0	0.01	557.7774782180786
0	100000000.0	0.05	383.7750391960144
0	100000000.0	0.1	351.3176164627075
0	100000000.0	0.25	326.13589096069336
