	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	865.147955417633
0	5000000.0	0.01	815.3593118190765
0	5000000.0	0.05	608.0281126499176
0	5000000.0	0.1	428.96008563041687
0	5000000.0	0.25	481.416396856308
0	10000000.0	0.0	797.5599505901337
0	10000000.0	0.01	764.2065801620483
0	10000000.0	0.05	609.2441599369049
0	10000000.0	0.1	477.05120730400085
0	10000000.0	0.25	445.4391350746155
0	25000000.0	0.0	850.7781569957733
0	25000000.0	0.01	902.7938580513
0	25000000.0	0.05	647.7828829288483
0	25000000.0	0.1	536.5772364139557
0	25000000.0	0.25	585.3939111232758
0	50000000.0	0.0	863.9303772449493
0	50000000.0	0.01	808.5006563663483
0	50000000.0	0.05	532.6051998138428
0	50000000.0	0.1	489.28944754600525
0	50000000.0	0.25	452.3245928287506
0	100000000.0	0.0	696.8581352233887
0	100000000.0	0.01	602.570538520813
0	100000000.0	0.05	388.88542127609253
0	100000000.0	0.1	328.3214023113251
0	100000000.0	0.25	330.1676950454712
