	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	755.5571138858795
0	5000000.0	0.01	689.5455479621887
0	5000000.0	0.05	578.5008187294006
0	5000000.0	0.1	384.5994107723236
0	5000000.0	0.25	426.15693497657776
0	10000000.0	0.0	701.4856741428375
0	10000000.0	0.01	674.3935098648071
0	10000000.0	0.05	585.1114580631256
0	10000000.0	0.1	426.1233205795288
0	10000000.0	0.25	463.8452582359314
0	25000000.0	0.0	685.191915512085
0	25000000.0	0.01	714.5193276405334
0	25000000.0	0.05	601.3831450939178
0	25000000.0	0.1	555.1985456943512
0	25000000.0	0.25	501.6102168560028
0	50000000.0	0.0	809.8461441993713
0	50000000.0	0.01	794.016420841217
0	50000000.0	0.05	527.6587932109833
0	50000000.0	0.1	459.6488506793976
0	50000000.0	0.25	437.15691328048706
0	100000000.0	0.0	683.5014054775238
0	100000000.0	0.01	602.0899591445923
0	100000000.0	0.05	369.4169223308563
0	100000000.0	0.1	389.01841259002686
0	100000000.0	0.25	365.0932273864746
