	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	864.7405507564545
0	5000000.0	0.01	800.1068246364594
0	5000000.0	0.05	537.118791103363
0	5000000.0	0.1	467.5318422317505
0	5000000.0	0.25	511.57030487060547
0	10000000.0	0.0	834.4526121616364
0	10000000.0	0.01	772.6201400756836
0	10000000.0	0.05	534.0123953819275
0	10000000.0	0.1	527.3484296798706
0	10000000.0	0.25	489.50705885887146
0	25000000.0	0.0	860.6324791908264
0	25000000.0	0.01	937.1243677139282
0	25000000.0	0.05	660.6714971065521
0	25000000.0	0.1	584.4817550182343
0	25000000.0	0.25	611.9642331600189
0	50000000.0	0.0	888.5601451396942
0	50000000.0	0.01	753.6660189628601
0	50000000.0	0.05	483.90309739112854
0	50000000.0	0.1	481.51530504226685
0	50000000.0	0.25	472.1375586986542
0	100000000.0	0.0	649.6664271354675
0	100000000.0	0.01	571.6035332679749
0	100000000.0	0.05	398.6219291687012
0	100000000.0	0.1	376.29151487350464
0	100000000.0	0.25	356.59492111206055
