	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	996.769454240799
0	5000000.0	0.01	1004.3151791095734
0	5000000.0	0.05	939.9429385662079
0	5000000.0	0.1	886.8909869194031
0	5000000.0	0.25	679.4343862533569
0	10000000.0	0.0	934.6822118759155
0	10000000.0	0.01	951.1212637424469
0	10000000.0	0.05	960.3052408695221
0	10000000.0	0.1	981.8900249004364
0	10000000.0	0.25	752.0041189193726
0	25000000.0	0.0	1116.3451268672943
0	25000000.0	0.01	945.8679592609406
0	25000000.0	0.05	994.4439828395844
0	25000000.0	0.1	898.5558226108551
0	25000000.0	0.25	605.4678409099579
0	50000000.0	0.0	970.0961184501648
0	50000000.0	0.01	856.3667378425598
0	50000000.0	0.05	725.7636671066284
0	50000000.0	0.1	666.439334154129
0	50000000.0	0.25	466.74885416030884
0	100000000.0	0.0	686.4822878837585
0	100000000.0	0.01	599.1447494029999
0	100000000.0	0.05	539.4473638534546
0	100000000.0	0.1	487.62815856933594
0	100000000.0	0.25	395.750696182251
