	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	1971.5278596878052
0	5000000.0	0.01	1810.843733549118
0	5000000.0	0.05	1592.9186198711395
0	5000000.0	0.1	1626.0256118774414
0	5000000.0	0.25	1364.9372758865356
0	10000000.0	0.0	1934.847993850708
0	10000000.0	0.01	1873.68847990036
0	10000000.0	0.05	1673.8798241615295
0	10000000.0	0.1	1502.7331719398499
0	10000000.0	0.25	982.9621386528015
0	25000000.0	0.0	1361.6559159755707
0	25000000.0	0.01	1060.3039174079895
0	25000000.0	0.05	962.2854664325714
0	25000000.0	0.1	954.1504817008972
0	25000000.0	0.25	672.3366672992706
0	50000000.0	0.0	1064.9654741287231
0	50000000.0	0.01	852.8642218112946
0	50000000.0	0.05	816.0716369152069
0	50000000.0	0.1	651.637200832367
0	50000000.0	0.25	491.9587666988373
0	100000000.0	0.0	808.9512045383453
0	100000000.0	0.01	706.5061991214752
0	100000000.0	0.05	610.5508997440338
0	100000000.0	0.1	483.21721363067627
0	100000000.0	0.25	392.8474578857422
