	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	2184.1765937805176
0	5000000.0	0.01	1975.2945353984833
0	5000000.0	0.05	1756.7895622253418
0	5000000.0	0.1	1333.8816769123077
0	5000000.0	0.25	1428.4379966259003
0	10000000.0	0.0	2147.4232726097107
0	10000000.0	0.01	1983.1433236598969
0	10000000.0	0.05	1586.183470249176
0	10000000.0	0.1	1102.434960603714
0	10000000.0	0.25	1015.7576603889465
0	25000000.0	0.0	1420.23402261734
0	25000000.0	0.01	1102.5674874782562
0	25000000.0	0.05	827.4285011291504
0	25000000.0	0.1	750.2832143306732
0	25000000.0	0.25	707.667387008667
0	50000000.0	0.0	1186.4966762065887
0	50000000.0	0.01	878.4777207374573
0	50000000.0	0.05	627.6232106685638
0	50000000.0	0.1	582.8324825763702
0	50000000.0	0.25	522.144150018692
0	100000000.0	0.0	873.0106449127197
0	100000000.0	0.01	755.8009743690491
0	100000000.0	0.05	427.20350217819214
0	100000000.0	0.1	477.4132602214813
0	100000000.0	0.25	433.87193775177
