	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	3744.8693811893463
0	5000000.0	0.01	3330.2742264270782
0	5000000.0	0.05	3476.244749546051
0	5000000.0	0.1	3059.1781799793243
0	5000000.0	0.25	2348.2331128120422
0	10000000.0	0.0	2473.8638231754303
0	10000000.0	0.01	2089.9776175022125
0	10000000.0	0.05	1803.3594102859497
0	10000000.0	0.1	1480.3311495780945
0	10000000.0	0.25	1095.9179389476776
0	25000000.0	0.0	1594.5164313316345
0	25000000.0	0.01	1325.2836372852325
0	25000000.0	0.05	1214.4139685630798
0	25000000.0	0.1	1170.7586643695831
0	25000000.0	0.25	739.3346927165985
0	50000000.0	0.0	1280.1191675662994
0	50000000.0	0.01	1226.7566492557526
0	50000000.0	0.05	1172.7656750679016
0	50000000.0	0.1	846.0963468551636
0	50000000.0	0.25	787.5714573860168
0	100000000.0	0.0	1361.7597987651825
0	100000000.0	0.01	1434.961760044098
0	100000000.0	0.05	1343.000651359558
0	100000000.0	0.1	885.7509713172913
0	100000000.0	0.25	862.0226926803589
