	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	1581.5076808929443
0	5000000.0	0.01	1535.4710144996643
0	5000000.0	0.05	1408.084807395935
0	5000000.0	0.1	944.6974017620087
0	5000000.0	0.25	908.6970431804657
0	10000000.0	0.0	1666.4828882217407
0	10000000.0	0.01	1617.3931753635406
0	10000000.0	0.05	1382.2197396755219
0	10000000.0	0.1	977.6062922477722
0	10000000.0	0.25	917.4018445014954
0	25000000.0	0.0	1521.7799589633942
0	25000000.0	0.01	1266.9453790187836
0	25000000.0	0.05	1107.264565229416
0	25000000.0	0.1	671.2126863002777
0	25000000.0	0.25	621.0573542118073
0	50000000.0	0.0	924.0738787651062
0	50000000.0	0.01	869.8574335575104
0	50000000.0	0.05	844.2771835327148
0	50000000.0	0.1	535.7861058712006
0	50000000.0	0.25	587.7602579593658
0	100000000.0	0.0	879.2925763130188
0	100000000.0	0.01	729.7232186794281
0	100000000.0	0.05	673.4082570075989
0	100000000.0	0.1	473.3234350681305
0	100000000.0	0.25	427.692423582077
