	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	830.6956851482391
0	5000000.0	0.01	809.0975668430328
0	5000000.0	0.05	799.562778711319
0	5000000.0	0.1	720.9466934204102
0	5000000.0	0.25	554.4229576587677
0	10000000.0	0.0	846.403785943985
0	10000000.0	0.01	765.6190760135651
0	10000000.0	0.05	781.1830825805664
0	10000000.0	0.1	652.7527129650116
0	10000000.0	0.25	611.0724492073059
0	25000000.0	0.0	994.1443967819214
0	25000000.0	0.01	993.7100160121918
0	25000000.0	0.05	854.4406764507294
0	25000000.0	0.1	555.9347431659698
0	25000000.0	0.25	532.2809615135193
0	50000000.0	0.0	1009.0323889255524
0	50000000.0	0.01	863.0527760982513
0	50000000.0	0.05	780.476881980896
0	50000000.0	0.1	532.5648698806763
0	50000000.0	0.25	494.2241122722626
0	100000000.0	0.0	746.8607449531555
0	100000000.0	0.01	719.6601343154907
0	100000000.0	0.05	607.0292317867279
0	100000000.0	0.1	391.82442569732666
0	100000000.0	0.25	389.7236907482147
