	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	1292.1061415672302
0	5000000.0	0.01	1296.0119278430939
0	5000000.0	0.05	1149.8860421180725
0	5000000.0	0.1	1134.3580167293549
0	5000000.0	0.25	791.8847889900208
0	10000000.0	0.0	1251.1194386482239
0	10000000.0	0.01	1388.4936845302582
0	10000000.0	0.05	1265.8706574440002
0	10000000.0	0.1	1164.7606115341187
0	10000000.0	0.25	802.9518241882324
0	25000000.0	0.0	1503.1438455581665
0	25000000.0	0.01	1330.2098269462585
0	25000000.0	0.05	1080.8994944095612
0	25000000.0	0.1	837.9657847881317
0	25000000.0	0.25	679.786346912384
0	50000000.0	0.0	936.05451130867
0	50000000.0	0.01	767.268205165863
0	50000000.0	0.05	727.8640542030334
0	50000000.0	0.1	516.5806741714478
0	50000000.0	0.25	503.5361704826355
0	100000000.0	0.0	784.1435866355896
0	100000000.0	0.01	791.6727452278137
0	100000000.0	0.05	662.3928065299988
0	100000000.0	0.1	410.6141986846924
0	100000000.0	0.25	396.4731776714325
