	distance_thr	counts_thr	time (s)
0	5000000.0	0.0	770.7636668682098
0	5000000.0	0.01	719.8905620574951
0	5000000.0	0.05	760.1239235401154
0	5000000.0	0.1	563.366959810257
0	5000000.0	0.25	445.4794180393219
0	10000000.0	0.0	795.9921746253967
0	10000000.0	0.01	752.1421909332275
0	10000000.0	0.05	767.5623886585236
0	10000000.0	0.1	549.6892185211182
0	10000000.0	0.25	503.30360412597656
0	25000000.0	0.0	901.4317409992218
0	25000000.0	0.01	818.4756233692169
0	25000000.0	0.05	831.6385560035706
0	25000000.0	0.1	600.8166840076447
0	25000000.0	0.25	526.8453207015991
0	50000000.0	0.0	982.1394000053406
0	50000000.0	0.01	939.2678084373474
0	50000000.0	0.05	841.4771635532379
0	50000000.0	0.1	554.1868402957916
0	50000000.0	0.25	581.9547739028931
0	100000000.0	0.0	1001.4789912700653
0	100000000.0	0.01	933.0308809280396
0	100000000.0	0.05	790.3997375965118
0	100000000.0	0.1	551.3271734714508
0	100000000.0	0.25	578.5903689861298
