dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	247498361	8171157	2697777.3922308926	1055850.6243363088	1680000.0	950000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
10000000	0.0	min	0.05	247498361	31901	2697777.3922308926	1049126.6731450425	1680000.0	850000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
10000000	0.01	min	optimal	60307913	1686592	2699756.2545399307	1090904.1724376732	1670000.0	970000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
10000000	0.01	min	0.05	60307913	9662	2699756.2545399307	1018258.1246118816	1670000.0	850000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
10000000	0.05	min	optimal	55130895	1664124	2903116.9530260665	1059788.8198235228	1940000.0	950000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
10000000	0.05	min	0.05	55130895	5527	2903116.9530260665	1029696.0376334359	1940000.0	710000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
10000000	0.1	min	optimal	54850263	1686699	2917186.450865331	1060553.1277364842	1960000.0	950000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
10000000	0.1	min	0.05	54850263	5445	2917186.450865331	1031871.4416896235	1960000.0	700000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
10000000	0.25	min	optimal	16143653	1519844	1353028.863417716	955566.4791912854	810000.0	880000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
10000000	0.25	min	0.05	16143653	42	1353028.863417716	2307380.9523809524	810000.0	1370000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
100000000	0.0	min	optimal	349261566	10554891	14973116.538394036	1326069.0044075302	5170000.0	930000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
100000000	0.0	min	0.05	349261566	64077	14973116.538394036	2539756.69897155	5170000.0	720000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
100000000	0.01	min	optimal	103727797	2253588	16183480.351655401	1356802.1350841413	6480000.0	930000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_10kb	10000	183643219	434390060.7793746	39610000.0	109068273	19753381.91932314	6790000.0
