dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	71675641	8725216	1381087.3770211556	233583.2963905994	400000.0	85000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
10000000	0.0	min	0.05	71675641	873	1381087.3770211556	200796.10538373425	400000.0	55000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
10000000	0.01	min	optimal	28469889	3107514	1630907.9763184183	278615.71983263793	580000.0	100000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
10000000	0.01	min	0.05	28469889	351	1630907.9763184183	199985.754985755	580000.0	55000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
10000000	0.05	min	optimal	5815695	1004305	710721.3179164313	162194.24875909212	150000.0	75000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
10000000	0.05	min	0.05	5815695	73	710721.3179164313	293904.1095890411	150000.0	85000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
10000000	0.1	min	optimal	4067965	796714	243024.50119408598	114601.26218442252	85000.0	60000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
10000000	0.1	min	0.05	4067965	17	243024.50119408598	10882.35294117647	85000.0	10000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
10000000	0.25	min	optimal	4067775	796635	243020.00725212187	114594.40019582368	85000.0	60000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
10000000	0.25	min	0.05	4067775	17	243020.00725212187	10882.35294117647	85000.0	10000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.0	min	optimal	89634104	9083268	8631738.190354422	355054.0647925394	815000.0	85000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.0	min	0.05	89634104	1666	8631738.190354422	1823628.4513805523	815000.0	60000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.01	min	optimal	38276423	3417355	10045814.12401049	434105.2670852165	1355000.0	105000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.01	min	0.05	38276423	722	10045814.12401049	1310948.7534626038	1355000.0	55000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.05	min	optimal	4089744	798367	379100.5586168719	138053.78979842603	85000.0	60000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.05	min	0.05	4089744	45	379100.5586168719	7089222.222222222	85000.0	11795000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.1	min	optimal	4089708	798358	378972.8227540939	138029.64334296144	85000.0	60000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.1	min	0.05	4089708	45	378972.8227540939	7089222.222222222	85000.0	11795000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.25	min	optimal	4089417	798237	377741.36998012185	136235.09058086757	85000.0	60000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
100000000	0.25	min	0.05	4089417	44	377741.36998012185	7250227.2727272725	85000.0	11797500.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.0	min	optimal	79810715	8962477	3066678.7725808495	280066.0291792102	545000.0	85000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.0	min	0.05	79810715	1303	3066678.7725808495	2136147.352264006	545000.0	65000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.01	min	optimal	32809388	3262646	3609140.690615747	338587.8562982316	835000.0	105000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.01	min	0.05	32809388	530	3609140.690615747	1513018.8679245282	835000.0	55000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.05	min	optimal	5217182	935356	1057420.2251330316	167392.48478654117	130000.0	70000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.05	min	0.05	5217182	79	1057420.2251330316	4089810.1265822784	130000.0	115000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.1	min	optimal	4081284	803064	293114.3691544132	123375.68985784445	85000.0	60000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.1	min	0.05	4081284	44	293114.3691544132	7250227.2727272725	85000.0	11797500.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.25	min	optimal	4081086	802985	293083.6252899351	123369.74538752281	85000.0	60000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
25000000	0.25	min	0.05	4081086	44	293083.6252899351	7250227.2727272725	85000.0	11797500.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
5000000	0.0	min	optimal	66145297	8250571	814948.3617104327	207537.41044104705	320000.0	85000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
5000000	0.0	min	0.05	66145297	700	814948.3617104327	205614.2857142857	320000.0	55000.0	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb	5000	61104421	361879836.3614312	11605000.0	40528571	12321232.880626362	1285000.0
