dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	247261628	14226544	1777035.425973981	355997.38840297406	710000.0	230000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0.0	min	0.05	247261628	4996	1777035.425973981	449010.2081665332	710000.0	210000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0.01	min	optimal	74398975	3874062	1944031.3402167168	380058.30830792076	850000.0	230000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0.01	min	0.05	74398975	1713	1944031.3402167168	443426.7367192061	850000.0	210000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0.05	min	optimal	68681818	3710952	1983910.5838025429	362997.8196969403	895000.0	225000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0.05	min	0.05	68681818	1239	1983910.5838025429	439051.65456012916	895000.0	205000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0.1	min	optimal	14156625	1553060	487133.3781886572	307133.11784477095	235000.0	225000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0.1	min	0.05	14156625	16	487133.3781886572	12812.5	235000.0	10000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0.25	min	optimal	14156278	1552890	487135.7792634476	307137.9267044028	235000.0	225000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0.25	min	0.05	14156278	15	487135.7792634476	13333.333333333334	235000.0	10000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
100000000	0.0	min	optimal	293534190	16243590	11027799.396213436	663110.7079777315	1610000.0	240000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
