dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	50965915	6396497	1166554.5279624627	172406.78061757865	305000.0	70000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0.0	min	0.05	50965915	218	1166554.5279624627	32935.779816513765	305000.0	20000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0.01	min	optimal	21049251	2272680	1374910.9619149868	203930.62595701992	425000.0	80000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0.01	min	0.05	21049251	85	1374910.9619149868	37941.17647058824	425000.0	20000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0.05	min	optimal	2826111	598655	184800.1016237508	91960.56159223593	70000.0	45000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0.05	min	0.05	2826111	13	184800.1016237508	9615.384615384615	70000.0	10000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0.1	min	optimal	2826096	598660	184800.99932910985	91959.40099555675	70000.0	45000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0.1	min	0.05	2826096	13	184800.99932910985	9615.384615384615	70000.0	10000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0.25	min	optimal	2825987	598612	184794.60804313677	91949.06717539909	70000.0	45000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0.25	min	0.05	2825987	13	184794.60804313677	9615.384615384615	70000.0	10000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
100000000	0.0	min	optimal	65510416	6903899	8766169.152016986	262086.94970769415	605000.0	70000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
100000000	0.0	min	0.05	65510416	543	8766169.152016986	3312440.14732965	605000.0	25000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
