dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	103052298	6553870	1969167.663781743	501616.852333049	880000.0	390000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
10000000	0.0	min	0.05	103052298	3285	1969167.663781743	621954.3378995433	880000.0	400000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
10000000	0.01	min	optimal	26261002	1474006	2024779.0392765668	513306.12629799335	920000.0	390000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
10000000	0.01	min	0.05	26261002	998	2024779.0392765668	592785.5711422845	920000.0	390000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
10000000	0.05	min	optimal	24634235	1612784	2144556.5490464796	505889.9083820276	1040000.0	380000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
10000000	0.05	min	0.05	24634235	623	2144556.5490464796	623258.4269662921	1040000.0	380000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
10000000	0.1	min	optimal	19426059	1364636	2062522.97854135	483453.11130587204	970000.0	380000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
10000000	0.1	min	0.05	19426059	451	2062522.97854135	651818.1818181818	970000.0	420000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
10000000	0.25	min	optimal	5906063	757450	615624.4929998207	450753.0926133738	360000.0	380000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
10000000	0.25	min	0.05	5906063	5	615624.4929998207	12000.0	360000.0	10000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
100000000	0.0	min	optimal	131360728	7517091	12851091.891710589	884230.2334772852	2320000.0	390000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
100000000	0.0	min	0.05	131360728	8181	12851091.891710589	2227917.125045838	2320000.0	390000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
100000000	0.01	min	optimal	40506224	2055522	14030559.439951746	997865.1943399293	3250000.0	390000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
100000000	0.01	min	0.05	40506224	2783	14030559.439951746	2152148.7603305783	3250000.0	390000.0	GM_set1_bio7_tec2_4DNFIXR9BRGT_10kb	10000	82276679	517918262.7797848	74710000.0	42944635	17611927.404668827	3350000.0
