dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	87892232	5057050	1450529.3179947915	411051.0218407965	590000.0	380000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
10000000	0.0	min	0.05	87892232	23920	1450529.3179947915	534567.3076923077	590000.0	360000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
10000000	0.01	min	optimal	21422679	1124316	1469766.8923667297	413785.97298268456	590000.0	380000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
10000000	0.01	min	0.05	21422679	7101	1469766.8923667297	505590.76186452614	590000.0	360000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
10000000	0.05	min	optimal	19587533	1122321	1586935.0264783218	409221.93383176473	690000.0	380000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
10000000	0.05	min	0.05	19587533	4274	1586935.0264783218	531125.4094525035	690000.0	355000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
10000000	0.1	min	optimal	19526147	1111970	1589481.9664114993	408931.61686016707	690000.0	380000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
10000000	0.1	min	0.05	19526147	4245	1589481.9664114993	533368.6690223793	690000.0	360000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
10000000	0.25	min	optimal	5544706	676813	425597.58984516043	390640.2063790146	280000.0	370000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
10000000	0.25	min	0.05	5544706	38	425597.58984516043	1582105.2631578948	280000.0	985000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.0	min	optimal	105300216	5842783	6605779.579787376	450894.26904952654	860000.0	370000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.0	min	0.05	105300216	33505	6605779.579787376	1362132.5175346963	860000.0	360000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.01	min	optimal	25955037	1340997	6715637.800092521	447965.1110330597	880000.0	370000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.01	min	0.05	25955037	9443	6715637.800092521	1274427.6183416287	880000.0	360000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.05	min	optimal	24233894	1332917	7176508.976229738	456219.74211447523	1030000.0	370000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.05	min	0.05	24233894	6847	7176508.976229738	1330506.7912954579	1030000.0	360000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.1	min	optimal	23079836	1290035	7362113.732523923	438363.85834492865	1090000.0	370000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.1	min	0.05	23079836	6249	7362113.732523923	1369468.714994399	1090000.0	360000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.25	min	optimal	5573825	677531	555482.9690562584	428011.544859202	280000.0	370000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
100000000	0.25	min	0.05	5573825	52	555482.9690562584	7992692.307692308	280000.0	1925000.0	H1hESC_MicroC_MNase_4DNFIR1FK55F_10kb	10000	43921020	409843389.129624	9500000.0	27253640	9099127.72862634	860000.0
