dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	190263436	6353037	2592871.529556525	908864.2581492914	1500000.0	730000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0.0	min	0.05	190263436	10271	2592871.529556525	1790580.2745594392	1500000.0	810000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0.01	min	optimal	46579981	1432570	2610477.8885590355	925852.4051180745	1510000.0	740000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0.01	min	0.05	46579981	2975	2610477.8885590355	1702840.3361344538	1510000.0	780000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0.05	min	optimal	43505578	1328887	2767242.048134609	919766.2404704087	1710000.0	730000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0.05	min	0.05	43505578	1891	2767242.048134609	1976673.7176097303	1710000.0	900000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0.1	min	optimal	41309981	1210993	2821316.230573914	921998.4426004114	1770000.0	740000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0.1	min	0.05	41309981	1660	2821316.230573914	2059506.0240963856	1770000.0	975000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0.25	min	optimal	11341459	1028163	1150374.4447694076	817949.8970493978	660000.0	690000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0.25	min	0.05	11341459	47	1150374.4447694076	1327659.574468085	660000.0	1060000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.0	min	optimal	255040959	7407286	13011566.721916223	1233611.206587676	4530000.0	720000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.0	min	0.05	255040959	23906	13011566.721916223	5973477.369697983	4530000.0	850000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.01	min	optimal	78014540	1768861	14023900.19719401	1271388.3171147988	5750000.0	720000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.01	min	0.05	78014540	8126	14023900.19719401	5867392.320945115	5750000.0	840000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.05	min	optimal	72979122	1810927	14567707.366498599	1297608.8655147336	6490000.0	730000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.05	min	0.05	72979122	6555	14567707.366498599	6383116.704805492	6490000.0	910000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.1	min	optimal	12687740	1052341	2816548.6075534336	1107270.4665122807	750000.0	700000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.1	min	0.05	12687740	133	2816548.6075534336	7853759.39849624	750000.0	10900000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.25	min	optimal	12162788	1030750	2568830.329855293	1104825.7288382247	720000.0	700000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0.25	min	0.05	12162788	111	2568830.329855293	9229009.00900901	720000.0	11250000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0.0	min	optimal	213070181	6866944	5836416.569806171	1071413.7686283737	2470000.0	720000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0.0	min	0.05	213070181	17184	5836416.569806171	4385961.359404096	2470000.0	900000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0.01	min	optimal	62886011	1654213	6250071.198982553	1118967.1281751504	2980000.0	730000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0.01	min	0.05	62886011	5774	6250071.198982553	4270455.49012816	2980000.0	870000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0.05	min	optimal	59826570	1519238	6549636.875722609	1111338.0062899953	3390000.0	720000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0.05	min	0.05	59826570	4413	6549636.875722609	4820179.016542035	3390000.0	1050000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
