dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	433310928	13745508	3481100.890628819	2141676.3396449224	2730000.0	1950000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
10000000	0.0	min	0.05	433310928	118793	3481100.890628819	1459158.1995572129	2730000.0	950000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
10000000	0.01	min	optimal	104518237	3347811	3450042.1628811057	2196886.7238921192	2640000.0	1980000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
10000000	0.01	min	0.05	104518237	37177	3450042.1628811057	1358479.167227049	2640000.0	900000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
10000000	0.05	min	optimal	94017115	2442044	3708338.0462163724	2075760.0886798108	3080000.0	1900000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
10000000	0.05	min	0.05	94017115	18641	3708338.0462163724	1516852.6366611233	3080000.0	960000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
10000000	0.1	min	optimal	93581291	2455526	3719879.7802436813	2077979.0277113742	3100000.0	1890000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
10000000	0.1	min	0.05	93581291	17388	3719879.7802436813	1482047.9641131815	3100000.0	950000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
10000000	0.25	min	optimal	35209563	1869157	2548803.1822490953	1950188.0794390198	1760000.0	1650000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
10000000	0.25	min	0.05	35209563	366	2548803.1822490953	3259153.0054644807	1760000.0	2750000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.0	min	optimal	737006556	17628817	17094347.86082147	3124522.6154426583	9440000.0	1970000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.0	min	0.05	737006556	242111	17094347.86082147	4797021.861873273	9440000.0	1170000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.01	min	optimal	212953600	4011866	18319338.90640966	3105817.173355242	10810000.0	1900000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.01	min	0.05	212953600	77841	18319338.90640966	4178513.7652393985	10810000.0	1130000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.05	min	optimal	203779239	3763268	19089512.064131323	3001520.024616902	11820000.0	1860000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.05	min	0.05	203779239	61900	19089512.064131323	4460496.930533118	11820000.0	1140000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.1	min	optimal	58149743	2791016	9584578.776556244	2986733.060648882	3740000.0	1990000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.1	min	0.05	58149743	13938	9584578.776556244	13592209.78619601	3740000.0	9960000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.25	min	optimal	45779012	2615544	7574209.61334858	2897960.9174993807	2690000.0	2000000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
100000000	0.25	min	0.05	45779012	1050	7574209.61334858	13332133.333333334	2690000.0	10915000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
25000000	0.0	min	optimal	641058711	16882903	7919186.840532614	2699903.4058301467	5570000.0	1960000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
25000000	0.0	min	0.05	641058711	195123	7919186.840532614	2722566.6374543235	5570000.0	1090000.0	IMR90_HiC_combined_4DNFIIG4IWKW_10kb	10000	402672696	475913167.5008571	53280000.0	223812700	21967105.655309103	11190000.0
