dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	186098408	12836390	1497212.4540151895	370023.066454042	520000.0	200000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
10000000	0.0	min	0.05	186098408	11005	1497212.4540151895	269147.66015447525	520000.0	190000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
10000000	0.01	min	optimal	54572119	3360667	1628148.7314062333	409223.0619695436	600000.0	205000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
10000000	0.01	min	0.05	54572119	3860	1628148.7314062333	265343.26424870465	600000.0	190000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
10000000	0.05	min	optimal	49791823	3233582	1681559.9776292585	369342.1150290916	650000.0	200000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
10000000	0.05	min	0.05	49791823	2668	1681559.9776292585	253690.0299850075	650000.0	185000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
10000000	0.1	min	optimal	14185119	1653839	736287.5468298856	307774.9073519248	245000.0	195000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
10000000	0.1	min	0.05	14185119	195	736287.5468298856	265820.5128205128	245000.0	205000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
10000000	0.25	min	optimal	12220202	1574378	550757.6441862418	303268.23990172625	210000.0	195000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
10000000	0.25	min	0.05	12220202	17	550757.6441862418	125000.0	210000.0	10000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
100000000	0.0	min	optimal	236086113	13987905	8714780.32672341	1021500.0863245783	1040000.0	205000.0	IMR90_set1_bio1_tec1_4DNFIW2BKSNF_5kb	5000	101650534	264522081.7206922	5490000.0	76703260	11336028.697411297	1340000.0
