dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0.0	min	optimal	21415844	2829447	1277671.7774933362	245017.5953110272	360000.0	110000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
10000000	0.0	min	0.05	21415844	222	1277671.7774933362	100270.27027027027	360000.0	70000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
10000000	0.01	min	optimal	7710590	872367	1496983.1673062632	283600.81250207766	500000.0	120000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
10000000	0.01	min	0.05	7710590	84	1496983.1673062632	105833.33333333333	500000.0	70000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
10000000	0.05	min	optimal	3225329	476451	1130514.6854785976	225038.6713429083	300000.0	110000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
10000000	0.05	min	0.05	3225329	37	1130514.6854785976	97027.02702702703	300000.0	80000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
10000000	0.1	min	optimal	1282502	296142	243808.0096561253	147243.2481714853	110000.0	90000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
10000000	0.1	min	0.05	1282502	5	243808.0096561253	12000.0	110000.0	10000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
10000000	0.25	min	optimal	1282460	296125	243806.66063658905	147234.3773744196	110000.0	90000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
10000000	0.25	min	0.05	1282460	5	243806.66063658905	12000.0	110000.0	10000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
100000000	0.0	min	optimal	25106140	2926462	7722707.913283364	342380.01381873403	650000.0	110000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
100000000	0.0	min	0.05	25106140	433	7722707.913283364	1395773.6720554272	650000.0	80000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_10kb	10000	14892791	282546253.1348221	4850000.0	10997688	10793959.16759959	970000.0
