dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	190614891	2487900	4237297.563126902	5722340.893926605	3830000.0	6460000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
10000000	0	min	0.05	190614891	70209	4237297.563126902	4796950.248543634	3830000.0	5200000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
100000000	0	min	optimal	549013712	4963685	25390778.42755228	11667929.602704443	17930000.0	8350000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
100000000	0	min	0.05	549013712	66565	25390778.42755228	14038719.897844212	17930000.0	7970000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
25000000	0	min	optimal	331722368	3078370	9591690.097877271	8974588.639442302	8110000.0	7960000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
25000000	0	min	0.05	331722368	50909	9591690.097877271	8736738.887033727	8110000.0	6210000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
5000000	0	min	optimal	117286566	2890370	2292117.519494944	2420378.214553846	2190000.0	2530000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
5000000	0	min	0.05	117286566	77484	2292117.519494944	2276894.068452842	2190000.0	2210000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
50000000	0	min	optimal	460027455	4160423	16935603.54498842	11012266.360896476	13410000.0	8240000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
50000000	0	min	0.05	460027455	60903	16935603.54498842	13653673.87485017	13410000.0	9230000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
10000000	0	max	optimal	190614891	3421153	4237297.563126902	5439443.830778688	3830000.0	6220000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
10000000	0	max	0.05	190614891	11269	4237297.563126902	2597368.8881000974	3830000.0	1590000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
100000000	0	max	optimal	549013712	6940058	25390778.42755228	12044571.085717151	17930000.0	8640000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
100000000	0	max	0.05	549013712	20408	25390778.42755228	8186627.303018424	17930000.0	1940000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
25000000	0	max	optimal	331722368	4519370	9591690.097877271	8927119.47240434	8110000.0	7950000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
25000000	0	max	0.05	331722368	12415	9591690.097877271	6067192.106322996	8110000.0	1880000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
5000000	0	max	optimal	117286566	3268230	2292117.519494944	2254390.9516772074	2190000.0	2250000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
5000000	0	max	0.05	117286566	12844	2292117.519494944	1699935.3783867953	2190000.0	1230000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
50000000	0	max	optimal	460027455	5713914	16935603.54498842	11207441.571574232	13410000.0	8510000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
50000000	0	max	0.05	460027455	16128	16935603.54498842	7244408.482142857	13410000.0	1960000.0	GM_HiC_combined_4DNFIYECESRC_10kb	10000	1572346432	673881466.6662872	368760000.0	586225139	32446498.36279027	20020000.0
