dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	97680434	4281294	1922069.3485555153	449734.8745496105	845000.0	350000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
10000000	0	min	0.05	97680434	10755	1922069.3485555153	484439.79544397956	845000.0	330000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
100000000	0	min	optimal	142967847	5703239	12108953.16857503	559977.7030210377	2375000.0	340000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
100000000	0	min	0.05	142967847	22574	12108953.16857503	1099209.267298662	2375000.0	325000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
25000000	0	min	optimal	117661227	5137938	4421271.394526592	495837.5723879891	1295000.0	345000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
25000000	0	min	0.05	117661227	15982	4421271.394526592	1157885.7464647728	1295000.0	330000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
5000000	0	min	optimal	85107957	3766141	1135338.411542413	439625.9433728052	650000.0	355000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
5000000	0	min	0.05	85107957	8153	1135338.411542413	482983.56433214765	650000.0	335000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
50000000	0	min	optimal	133547518	5490995	8131563.000257332	539066.6727979173	1875000.0	340000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
50000000	0	min	0.05	133547518	19950	8131563.000257332	1128496.992481203	1875000.0	330000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
10000000	0	max	optimal	97680434	4284055	1922069.3485555153	431563.219893302	845000.0	345000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
10000000	0	max	0.05	97680434	4237	1922069.3485555153	532399.1031390134	845000.0	320000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
100000000	0	max	optimal	142967847	5711064	12108953.16857503	505428.67231044866	2375000.0	335000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
100000000	0	max	0.05	142967847	11645	12108953.16857503	863820.9531987978	2375000.0	315000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
25000000	0	max	optimal	117661227	4913056	4421271.394526592	454468.0123735614	1295000.0	340000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
25000000	0	max	0.05	117661227	7203	4421271.394526592	785369.9847285853	1295000.0	320000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
5000000	0	max	optimal	85107957	3727299	1135338.411542413	424255.47158948076	650000.0	345000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
5000000	0	max	0.05	85107957	2714	1135338.411542413	520475.3131908622	650000.0	325000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
50000000	0	max	optimal	133547518	5439560	8131563.000257332	486856.283412629	1875000.0	335000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
50000000	0	max	0.05	133547518	9869	8131563.000257332	823027.1557401966	1875000.0	315000.0	GM_set1_bio1_tec1_4DNFIUOVQH68_5kb	5000	221743027	360649283.975386	18165000.0	147023960	15027211.048423672	2560000.0
