dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	44380536	2295158	1550359.993849556	260743.51743975797	550000.0	130000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
10000000	0	min	0.05	44380536	469	1550359.993849556	540842.2174840085	550000.0	110000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
100000000	0	min	optimal	60278401	3682453	10234959.68630621	476063.6632701083	1265000.0	145000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
100000000	0	min	0.05	60278401	1010	10234959.68630621	1684806.9306930692	1265000.0	105000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
25000000	0	min	optimal	51304542	2712717	3587514.26277229	336365.67139145	780000.0	135000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
25000000	0	min	0.05	51304542	715	3587514.26277229	1953335.6643356644	780000.0	115000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
5000000	0	min	optimal	39981830	2189629	924244.5128199485	237785.62030371354	445000.0	130000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
5000000	0	min	0.05	39981830	367	924244.5128199485	406444.1416893733	445000.0	115000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
50000000	0	min	optimal	56861813	3056510	6722479.422789421	415303.4653902654	1045000.0	140000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
50000000	0	min	0.05	56861813	893	6722479.422789421	1792183.6506159015	1045000.0	110000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
10000000	0	max	optimal	44380536	3293424	1550359.993849556	303683.8135630274	550000.0	140000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
10000000	0	max	0.05	44380536	196	1550359.993849556	815331.6326530612	550000.0	137500.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
100000000	0	max	optimal	60278401	5031688	10234959.68630621	518995.906542695	1265000.0	160000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
100000000	0	max	0.05	60278401	491	10234959.68630621	2165101.83299389	1265000.0	115000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
25000000	0	max	optimal	51304542	4324849	3587514.26277229	395421.5811927769	780000.0	155000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
25000000	0	max	0.05	51304542	338	3587514.26277229	2580088.75739645	780000.0	145000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
5000000	0	max	optimal	39981830	2716023	924244.5128199485	260195.9666762763	445000.0	135000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
5000000	0	max	0.05	39981830	154	924244.5128199485	508928.5714285714	445000.0	137500.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
50000000	0	max	optimal	56861813	4849298	6722479.422789421	475106.11329722364	1045000.0	160000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
50000000	0	max	0.05	56861813	428	6722479.422789421	2381962.61682243	1045000.0	125000.0	GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb	5000	91392466	343191842.2910265	11120000.0	62130471	12733991.680748727	1320000.0
