dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	64237050	3383772	1634111.1645070873	326345.42309588235	610000.0	230000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
10000000	0	min	0.05	64237050	4628	1634111.1645070873	509054.6672428695	610000.0	230000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
100000000	0	min	optimal	89199703	4136914	10750234.55823614	447098.1303938153	1470000.0	225000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
100000000	0	min	0.05	89199703	10116	10750234.55823614	1468063.9580862	1470000.0	220000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
25000000	0	min	optimal	75203446	3728007	3824017.9720620783	369420.2250693199	875000.0	230000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
25000000	0	min	0.05	75203446	7157	3824017.9720620783	1541678.7760234736	875000.0	230000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
5000000	0	min	optimal	57426375	3032251	968068.8681812147	312682.10811044334	490000.0	230000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
5000000	0	min	0.05	57426375	3557	968068.8681812147	484135.5074500984	490000.0	235000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
50000000	0	min	optimal	83961261	4088730	7141258.756642543	430089.7271279835	1200000.0	225000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
50000000	0	min	0.05	83961261	8931	7141258.756642543	1440483.1485835852	1200000.0	225000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
10000000	0	max	optimal	64237050	3287647	1634111.1645070873	306223.6988946806	610000.0	225000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
10000000	0	max	0.05	64237050	1702	1634111.1645070873	735693.3019976498	610000.0	235000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
100000000	0	max	optimal	89199703	4362471	10750234.55823614	428929.3510489812	1470000.0	225000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
100000000	0	max	0.05	89199703	4919	10750234.55823614	1621771.7015653588	1470000.0	215000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
25000000	0	max	optimal	75203446	3820454	3824017.9720620783	354379.4363183014	875000.0	225000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
25000000	0	max	0.05	75203446	2982	3824017.9720620783	1628479.2085848423	875000.0	227500.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
5000000	0	max	optimal	57426375	2991925	968068.8681812147	299092.3435580772	490000.0	225000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
5000000	0	max	0.05	57426375	1168	968068.8681812147	665577.9109589041	490000.0	250000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
50000000	0	max	optimal	83961261	4233183	7141258.756642543	407298.5883199474	1200000.0	225000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
50000000	0	max	0.05	83961261	4141	7141258.756642543	1598347.0176285922	1200000.0	220000.0	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb	5000	142940354	387570774.860191	17780000.0	91770451	13456840.821780423	1560000.0
