dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	41239249	1587214	2285402.612933131	751318.177637042	1190000.0	630000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
10000000	0	min	0.05	41239249	6407	2285402.612933131	856741.064460746	1190000.0	620000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
100000000	0	min	optimal	65738998	2537481	14196125.994040858	1022045.1266433127	4120000.0	610000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
100000000	0	min	0.05	65738998	14078	14196125.994040858	1712113.2263105556	4120000.0	570000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
25000000	0	min	optimal	51978789	2039270	5254772.443813572	851796.142737352	1990000.0	620000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
25000000	0	min	0.05	51978789	9856	5254772.443813572	1643603.8961038962	1990000.0	600000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
5000000	0	min	optimal	34635687	1285408	1337948.3799469606	724936.7593791232	870000.0	650000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
5000000	0	min	0.05	34635687	4887	1337948.3799469606	893157.3562512789	870000.0	650000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
50000000	0	min	optimal	60583832	2349383	9568760.533668455	959488.2869246947	3120000.0	620000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
50000000	0	min	0.05	60583832	12363	9568760.533668455	1716998.3013831594	3120000.0	590000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
10000000	0	max	optimal	41239249	1659899	2285402.612933131	719420.5430571379	1190000.0	620000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
10000000	0	max	0.05	41239249	2296	2285402.612933131	983527.8745644599	1190000.0	600000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
100000000	0	max	optimal	65738998	2506607	14196125.994040858	863160.4675164475	4120000.0	590000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
100000000	0	max	0.05	65738998	7259	14196125.994040858	1494705.8823529412	4120000.0	460000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
25000000	0	max	optimal	51978789	2093724	5254772.443813572	785373.1723952154	1990000.0	610000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
25000000	0	max	0.05	51978789	4252	5254772.443813572	1459195.6726246472	1990000.0	520000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
5000000	0	max	optimal	34635687	1430207	1337948.3799469606	700381.5112078182	870000.0	630000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
5000000	0	max	0.05	34635687	1383	1337948.3799469606	1007078.8141720897	870000.0	650000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
50000000	0	max	optimal	60583832	2389737	9568760.533668455	841319.191191332	3120000.0	600000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
50000000	0	max	0.05	60583832	6006	9568760.533668455	1419878.4548784548	3120000.0	470000.0	GM_set1_bio3_tec2_4DNFIATMYDMG_10kb	10000	114043633	435652199.3639926	35460000.0	67971401	17678458.988214765	4510000.0
