dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	75867932	3535580	1907366.5226567662	365209.66856923053	815000.0	235000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0	min	0.05	75867932	2013	1907366.5226567662	466604.5702930949	815000.0	215000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
100000000	0	min	optimal	111641875	4117265	12521733.103506189	588333.0560457002	2420000.0	230000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
100000000	0	min	0.05	111641875	4948	12521733.103506189	1943577.2029102668	2420000.0	210000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
25000000	0	min	optimal	91207860	3708581	4378965.733271234	425316.6467174372	1265000.0	230000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
25000000	0	min	0.05	91207860	3339	4378965.733271234	2071862.833183588	1265000.0	225000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
5000000	0	min	optimal	66057731	3294468	1114069.1545248504	345792.15369522484	615000.0	235000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
5000000	0	min	0.05	66057731	1505	1114069.1545248504	489006.6445182724	615000.0	225000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
50000000	0	min	optimal	103580745	4027098	8126266.65718614	544931.5723133631	1855000.0	230000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
50000000	0	min	0.05	103580745	4301	8126266.65718614	2050183.6782143686	1855000.0	215000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0	max	optimal	75867932	3506182	1907366.5226567662	346538.38848068926	815000.0	230000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
10000000	0	max	0.05	75867932	730	1907366.5226567662	526363.0136986302	815000.0	205000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
100000000	0	max	optimal	111641875	4776652	12521733.103506189	639151.0047204611	2420000.0	235000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
100000000	0	max	0.05	111641875	2337	12521733.103506189	1055350.8771929825	2420000.0	195000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
25000000	0	max	optimal	91207860	4052149	4378965.733271234	445985.024242692	1265000.0	230000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
25000000	0	max	0.05	91207860	1341	4378965.733271234	1124716.629381059	1265000.0	200000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
5000000	0	max	optimal	66057731	3262983	1114069.1545248504	332473.58168890246	615000.0	230000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
5000000	0	max	0.05	66057731	440	1114069.1545248504	535568.1818181818	615000.0	210000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
50000000	0	max	optimal	103580745	4395551	8126266.65718614	550289.4699663364	1855000.0	235000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
50000000	0	max	0.05	103580745	1910	8126266.65718614	1026371.7277486911	1855000.0	200000.0	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb	5000	202488982	462062815.2086593	40905000.0	115514303	16027908.492985496	2655000.0
