dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	21438470	2327890	1350232.3090220524	203696.7038820563	410000.0	85000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0	min	0.05	21438470	94	1350232.3090220524	38085.10638297872	410000.0	20000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
100000000	0	min	optimal	28693949	2554562	9963677.720867211	316940.3208847544	905000.0	85000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
100000000	0	min	0.05	28693949	223	9963677.720867211	2126950.6726457397	905000.0	25000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
25000000	0	min	optimal	24475635	2424253	3250338.9660778977	242868.77029748957	565000.0	85000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
25000000	0	min	0.05	24475635	157	3250338.9660778977	2792452.229299363	565000.0	25000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
5000000	0	min	optimal	19590248	2247621	792378.7498759587	188950.0876704747	340000.0	80000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
5000000	0	min	0.05	19590248	74	792378.7498759587	25337.837837837837	340000.0	20000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
50000000	0	min	optimal	27023276	2497441	6319728.294970603	292174.6679901547	745000.0	85000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
50000000	0	min	0.05	27023276	198	6319728.294970603	2392247.474747475	745000.0	25000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0	max	optimal	21438470	1855888	1350232.3090220524	192269.23984637004	410000.0	75000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
10000000	0	max	0.05	21438470	54	1350232.3090220524	37777.77777777778	410000.0	15000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
100000000	0	max	optimal	28693949	2284122	9963677.720867211	308822.10319764004	905000.0	80000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
100000000	0	max	0.05	28693949	131	9963677.720867211	3310839.6946564885	905000.0	25000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
25000000	0	max	optimal	24475635	2073226	3250338.9660778977	230785.4498255376	565000.0	75000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
25000000	0	max	0.05	24475635	102	3250338.9660778977	3897745.098039216	565000.0	25000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
5000000	0	max	optimal	19590248	1719786	792378.7498759587	176063.95795755985	340000.0	70000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
5000000	0	max	0.05	19590248	48	792378.7498759587	16666.666666666668	340000.0	10000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
50000000	0	max	optimal	27023276	2194508	6319728.294970603	281590.2266020447	745000.0	80000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
50000000	0	max	0.05	27023276	120	6319728.294970603	3461541.6666666665	745000.0	25000.0	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb	5000	44688898	355783950.7542791	10740000.0	30028656	12489083.957836807	900000.0
