dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	21717367	2303866	1177650.2162992412	175207.996037964	320000.0	75000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
10000000	0	min	0.05	21717367	728	1177650.2162992412	457747.25274725276	320000.0	80000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
100000000	0	min	optimal	27791817	2640398	8600141.16079564	300137.3221006833	615000.0	80000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
100000000	0	min	0.05	27791817	1350	8600141.16079564	1468588.888888889	615000.0	70000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
25000000	0	min	optimal	24290599	2460214	2817565.624256528	227172.94715012595	420000.0	75000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
25000000	0	min	0.05	24290599	976	2817565.624256528	1236173.1557377048	420000.0	75000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
5000000	0	min	optimal	20138463	2045136	701193.6904022914	159694.3797380712	270000.0	70000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
5000000	0	min	0.05	20138463	609	701193.6904022914	310985.22167487687	270000.0	80000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
50000000	0	min	optimal	26420238	2592783	5471589.270126938	269047.9689198826	525000.0	75000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
50000000	0	min	0.05	26420238	1208	5471589.270126938	1190103.476821192	525000.0	70000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
10000000	0	max	optimal	21717367	1876705	1177650.2162992412	156672.44185953573	320000.0	70000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
10000000	0	max	0.05	21717367	339	1177650.2162992412	581976.401179941	320000.0	90000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
100000000	0	max	optimal	27791817	2266383	8600141.16079564	232655.7933941439	615000.0	70000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
100000000	0	max	0.05	27791817	736	8600141.16079564	1922445.652173913	615000.0	75000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
25000000	0	max	optimal	24290599	2081731	2817565.624256528	183121.174157468	420000.0	70000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
25000000	0	max	0.05	24290599	505	2817565.624256528	1733613.8613861387	420000.0	90000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
5000000	0	max	optimal	20138463	1766485	701193.6904022914	145786.55635343635	270000.0	65000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
5000000	0	max	0.05	20138463	258	701193.6904022914	378953.488372093	270000.0	90000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
50000000	0	max	optimal	26420238	2194426	5471589.270126938	213511.3897666178	525000.0	70000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
50000000	0	max	0.05	26420238	638	5471589.270126938	1679584.6394984326	525000.0	80000.0	GM_set2_bio1_tec1_4DNFIR53NCUM_5kb	5000	43058616	354616348.64297545	7185000.0	28911613	10845865.837544242	610000.0
