dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	32298409	1964213	1315911.299996232	205703.6584117914	400000.0	100000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
10000000	0	min	0.05	32298409	490	1315911.299996232	416255.10204081633	400000.0	100000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
100000000	0	min	optimal	42026444	2864193	9020790.467187755	345942.1920938987	805000.0	110000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
100000000	0	min	0.05	42026444	882	9020790.467187755	2763123.5827664398	805000.0	105000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
25000000	0	min	optimal	36525340	2292360	3086722.5726030204	259166.6884782495	535000.0	105000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
25000000	0	min	0.05	36525340	692	3086722.5726030204	2595144.50867052	535000.0	115000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
5000000	0	min	optimal	29648429	1736826	785520.7066789273	185899.16318617985	335000.0	95000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
5000000	0	min	0.05	29648429	410	785520.7066789273	339743.9024390244	335000.0	100000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
50000000	0	min	optimal	39907197	2751123	5850180.822772394	321062.616974959	685000.0	110000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
50000000	0	min	0.05	39907197	815	5850180.822772394	2632269.938650307	685000.0	110000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
10000000	0	max	optimal	32298409	2897806	1315911.299996232	235814.74398217135	400000.0	110000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
10000000	0	max	0.05	32298409	208	1315911.299996232	606995.1923076923	400000.0	107500.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
100000000	0	max	optimal	42026444	3500007	9020790.467187755	357375.0738212809	805000.0	115000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
100000000	0	max	0.05	42026444	450	9020790.467187755	3320766.6666666665	805000.0	115000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
25000000	0	max	optimal	36525340	3149150	3086722.5726030204	280679.76914405474	535000.0	115000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
25000000	0	max	0.05	36525340	329	3086722.5726030204	2928267.4772036476	535000.0	120000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
5000000	0	max	optimal	29648429	2699405	785520.7066789273	216917.87634682457	335000.0	110000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
5000000	0	max	0.05	29648429	163	785520.7066789273	430153.37423312885	335000.0	115000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
50000000	0	max	optimal	39907197	3385210	5850180.822772394	329332.6632616588	685000.0	115000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
50000000	0	max	0.05	39907197	398	5850180.822772394	3151193.4673366835	685000.0	120000.0	GM_set2_bio1_tec3_4DNFI6GHPTLB_5kb	5000	62442339	327004551.04212224	6530000.0	43382847	11224392.097180713	815000.0
