dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	27000012	2559853	1299422.4889603753	208152.284525713	375000.0	90000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
10000000	0	min	0.05	27000012	415	1299422.4889603753	124337.34939759035	375000.0	70000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
100000000	0	min	optimal	35295760	3160209	9147270.250591006	315250.181238013	780000.0	100000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
100000000	0	min	0.05	35295760	823	9147270.250591006	1182266.09963548	780000.0	70000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
25000000	0	min	optimal	30542445	3034761	3082907.641153156	251527.91603688066	510000.0	100000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
25000000	0	min	0.05	30542445	587	3082907.641153156	1446073.2538330494	510000.0	75000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
5000000	0	min	optimal	24790431	2404393	769361.8878590695	191795.3221457557	315000.0	90000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
5000000	0	min	0.05	24790431	325	769361.8878590695	125492.30769230769	315000.0	70000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
50000000	0	min	optimal	33499894	3127089	5962524.730824522	294315.85733568826	660000.0	100000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
50000000	0	min	0.05	33499894	742	5962524.730824522	1302371.9676549865	660000.0	70000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
10000000	0	max	optimal	27000012	2364947	1299422.4889603753	199952.0348658976	375000.0	90000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
10000000	0	max	0.05	27000012	186	1299422.4889603753	121424.7311827957	375000.0	65000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
100000000	0	max	optimal	35295760	2907310	9147270.250591006	304353.6275801342	780000.0	95000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
100000000	0	max	0.05	35295760	423	9147270.250591006	1573924.3498817966	780000.0	70000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
25000000	0	max	optimal	30542445	2627412	3082907.641153156	238569.71232528434	510000.0	90000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
25000000	0	max	0.05	30542445	291	3082907.641153156	1884398.6254295532	510000.0	75000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
5000000	0	max	optimal	24790431	2216216	769361.8878590695	184232.2792543687	315000.0	85000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
5000000	0	max	0.05	24790431	137	769361.8878590695	134452.55474452555	315000.0	60000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
50000000	0	max	optimal	33499894	2816162	5962524.730824522	280890.99277669395	660000.0	95000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
50000000	0	max	0.05	33499894	375	5962524.730824522	1682280.0	660000.0	75000.0	GM_set2_bio2_tec2_4DNFINOS8VK8_5kb	5000	50780452	300767161.3731402	5015000.0	36548403	11352848.524735814	790000.0
