dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	17941552	919699	1583413.59376268	349834.63067808055	600000.0	270000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
10000000	0	min	0.05	17941552	1181	1583413.59376268	625944.1151566469	600000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
100000000	0	min	optimal	25031365	1112098	11488336.285296466	508412.62190922024	1400000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
100000000	0	min	0.05	25031365	1959	11488336.285296466	1434563.5528330782	1400000.0	250000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
25000000	0	min	optimal	20905601	997287	3720462.625781483	391953.85079721286	830000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
25000000	0	min	0.05	20905601	1534	3720462.625781483	1328122.555410691	830000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
5000000	0	min	optimal	16131968	879545	946949.2507051836	344250.7773905826	490000.0	270000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
5000000	0	min	0.05	16131968	999	946949.2507051836	598458.4584584584	490000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
50000000	0	min	optimal	23236798	1089626	6935541.454980157	447831.73309006944	1100000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
50000000	0	min	0.05	23236798	1759	6935541.454980157	1332359.295054008	1100000.0	250000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
10000000	0	max	optimal	17941552	947734	1583413.59376268	339699.831387288	600000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
10000000	0	max	0.05	17941552	555	1583413.59376268	795531.5315315315	600000.0	270000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
100000000	0	max	optimal	25031365	1055861	11488336.285296466	445411.83924777975	1400000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
100000000	0	max	0.05	25031365	1153	11488336.285296466	1760962.7059843885	1400000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
25000000	0	max	optimal	20905601	991506	3720462.625781483	364237.79583784664	830000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
25000000	0	max	0.05	20905601	809	3720462.625781483	1698578.4919653893	830000.0	270000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
5000000	0	max	optimal	16131968	917002	946949.2507051836	334475.5082322612	490000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
5000000	0	max	0.05	16131968	438	946949.2507051836	729474.8858447488	490000.0	280000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
50000000	0	max	optimal	23236798	1023861	6935541.454980157	398862.2674366931	1100000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
50000000	0	max	0.05	23236798	1015	6935541.454980157	1618522.1674876846	1100000.0	260000.0	H1hESC_HiC_DdelI_4DNFIPVA6VYB_10kb	10000	74109213	696859892.0301583	419340000.0	26461872	16967509.280144654	1590000.0
