dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	47408177	4183287	1632716.5298931447	424259.69458944607	695000.0	320000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
10000000	0	min	0.05	47408177	7367	1632716.5298931447	495925.7499660649	695000.0	305000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
100000000	0	min	optimal	63335631	7114160	10086723.356557386	1317620.2186906114	1350000.0	325000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
100000000	0	min	0.05	63335631	13741	10086723.356557386	927462.3389855177	1350000.0	300000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
25000000	0	min	optimal	54468238	4668245	3568484.61832013	480456.5023900845	920000.0	315000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
25000000	0	min	0.05	54468238	10084	3568484.61832013	640906.8821896072	920000.0	305000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
5000000	0	min	optimal	42711448	3689480	1017859.8796275883	395245.8259700554	575000.0	315000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
5000000	0	min	0.05	42711448	5777	1017859.8796275883	441622.814609659	575000.0	305000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
50000000	0	min	optimal	59615011	4892112	6337510.672018495	567206.0104102277	1145000.0	315000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
50000000	0	min	0.05	59615011	12156	6337510.672018495	757742.6785126686	1145000.0	300000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
10000000	0	max	optimal	47408177	4273067	1632716.5298931447	405336.8096030322	695000.0	310000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
10000000	0	max	0.05	47408177	1903	1632716.5298931447	463415.65948502364	695000.0	290000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
100000000	0	max	optimal	63335631	5587726	10086723.356557386	600490.6459264467	1350000.0	325000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
100000000	0	max	0.05	63335631	5881	10086723.356557386	857092.3312361843	1350000.0	295000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
25000000	0	max	optimal	54468238	4685753	3568484.61832013	444511.9525079534	920000.0	310000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
25000000	0	max	0.05	54468238	3472	3568484.61832013	643420.2188940092	920000.0	290000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
5000000	0	max	optimal	42711448	4076836	1017859.8796275883	395197.3859139784	575000.0	315000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
5000000	0	max	0.05	42711448	1118	1017859.8796275883	438492.8443649374	575000.0	295000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
50000000	0	max	optimal	59615011	5148312	6337510.672018495	514930.0518305806	1145000.0	315000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
50000000	0	max	0.05	59615011	4838	6337510.672018495	702488.6316659776	1145000.0	290000.0	H1hESC_HiC_HindIII_4DNFIUTE4F4B_5kb	5000	140703852	564338278.8910116	166635000.0	66062458	14120652.65638466	1445000.0
