dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	51617964	1581496	2446085.305301852	937391.8365901653	1370000.0	860000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
10000000	0	min	0.05	51617964	19310	2446085.305301852	862849.8187467633	1370000.0	660000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
100000000	0	min	optimal	82025354	2067799	13784905.371209979	1134978.06121388	4370000.0	850000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
100000000	0	min	0.05	82025354	34674	13784905.371209979	1758979.0621214744	4370000.0	670000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
25000000	0	min	optimal	66004472	1798304	5518109.861101532	1030815.1180223144	2310000.0	850000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
25000000	0	min	0.05	66004472	27114	5518109.861101532	1494056.9447517886	2310000.0	690000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
5000000	0	min	optimal	42648998	1444834	1431160.0654721125	908801.7100926474	1000000.0	860000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
5000000	0	min	0.05	42648998	15070	1431160.0654721125	831153.9482415395	1000000.0	715000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
50000000	0	min	optimal	76092553	1949251	9474564.518816972	1112348.0557403844	3430000.0	850000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
50000000	0	min	0.05	76092553	31962	9474564.518816972	1689383.330204618	3430000.0	680000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
10000000	0	max	optimal	51617964	1851067	2446085.305301852	938468.261818724	1370000.0	850000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
10000000	0	max	0.05	51617964	7082	2446085.305301852	849349.0539395651	1370000.0	500000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
100000000	0	max	optimal	82025354	2502706	13784905.371209979	1089876.2978951582	4370000.0	850000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
100000000	0	max	0.05	82025354	17764	13784905.371209979	1407188.13330331	4370000.0	510000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
25000000	0	max	optimal	66004472	2155988	5518109.861101532	1018672.1493811654	2310000.0	850000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
25000000	0	max	0.05	66004472	11968	5518109.861101532	1180499.665775401	2310000.0	500000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
5000000	0	max	optimal	42648998	1604695	1431160.0654721125	896909.7118143947	1000000.0	860000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
5000000	0	max	0.05	42648998	4521	1431160.0654721125	832329.1307232913	1000000.0	510000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
50000000	0	max	optimal	76092553	2367868	9474564.518816972	1070259.9807083842	3430000.0	850000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
50000000	0	max	0.05	76092553	15500	9474564.518816972	1223253.5483870967	3430000.0	500000.0	HMEC_HiC_combined_4DNFIIFAUT24_10kb	10000	182851283	577969201.3702742	173950000.0	85262027	18191642.3936297	4870000.0
