dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	47526437	1352424	2561663.24060859	937512.9397289607	1450000.0	750000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0	min	0.05	47526437	3698	2561663.24060859	1651170.903190914	1450000.0	790000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0	min	optimal	79196769	1744407	13817433.17912376	1281181.3126179841	5480000.0	730000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0	min	0.05	79196769	8981	13817433.17912376	5702396.169691571	5480000.0	830000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0	min	optimal	63860093	1549145	6157198.941442193	1120301.7987341403	2860000.0	740000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0	min	0.05	63860093	6600	6157198.941442193	4119180.303030303	2860000.0	860000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
5000000	0	min	optimal	38484472	1253619	1447767.7887850455	879188.2780972528	1000000.0	750000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
5000000	0	min	0.05	38484472	2711	1447767.7887850455	1309940.9811877536	1000000.0	810000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
50000000	0	min	optimal	74284925	1696074	10190813.746530673	1272014.0276898295	4460000.0	740000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
50000000	0	min	0.05	74284925	8384	10190813.746530673	5736525.52480916	4460000.0	860000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0	max	optimal	47526437	1540274	2561663.24060859	923456.118846387	1450000.0	740000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
10000000	0	max	0.05	47526437	935	2561663.24060859	1341893.0481283423	1450000.0	730000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0	max	optimal	79196769	1978294	13817433.17912376	1125170.5560447536	5480000.0	730000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
100000000	0	max	0.05	79196769	3309	13817433.17912376	2137029.3139921427	5480000.0	690000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0	max	optimal	63860093	1892488	6157198.941442193	1056191.6376748492	2860000.0	730000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
25000000	0	max	0.05	63860093	1956	6157198.941442193	1883348.6707566462	2860000.0	700000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
5000000	0	max	optimal	38484472	1406483	1447767.7887850455	869840.7659388703	1000000.0	740000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
5000000	0	max	0.05	38484472	528	1447767.7887850455	1375303.0303030303	1000000.0	810000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
50000000	0	max	optimal	74284925	1973652	10190813.746530673	1116564.2220614373	4460000.0	730000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
50000000	0	max	0.05	74284925	2825	10190813.746530673	1918594.6902654867	4460000.0	700000.0	HUVEC_HiC_combined_4DNFIYL35EHL_10kb	10000	176944663	584679049.1337396	177990000.0	81994065	17778349.543104127	6010000.0
