dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	189960456	5892034	2471611.085046037	939716.5359195144	1360000.0	800000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
10000000	0	min	0.05	189960456	61220	2471611.085046037	783421.430904933	1360000.0	680000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
100000000	0	min	optimal	308043144	7500104	13604939.277142296	1274616.0119913004	4810000.0	790000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
100000000	0	min	0.05	308043144	116720	13604939.277142296	1726109.7926662096	4810000.0	720000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
25000000	0	min	optimal	248154703	6645302	5788796.903579135	1086271.240193448	2490000.0	795000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
25000000	0	min	0.05	248154703	89088	5788796.903579135	1245657.2153376436	2490000.0	715000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
5000000	0	min	optimal	155744364	5448057	1413279.454176589	890683.5519525585	960000.0	805000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
5000000	0	min	0.05	155744364	47270	1413279.454176589	769467.9500740428	960000.0	715000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
50000000	0	min	optimal	288260161	7087774	9870290.601360623	1229413.9570477274	3860000.0	795000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
50000000	0	min	0.05	288260161	107665	9870290.601360623	1687278.5956438954	3860000.0	720000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
10000000	0	max	optimal	189960456	5927980	2471611.085046037	917851.1853953623	1360000.0	785000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
10000000	0	max	0.05	189960456	22638	2471611.085046037	736430.117501546	1360000.0	460000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
100000000	0	max	optimal	308043144	7877155	13604939.277142296	1180497.5419424907	4810000.0	780000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
100000000	0	max	0.05	308043144	58901	13604939.277142296	1045585.5588190353	4810000.0	490000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
25000000	0	max	optimal	248154703	6746525	5788796.903579135	1045367.1230744717	2490000.0	785000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
25000000	0	max	0.05	248154703	39586	5788796.903579135	917575.7843682109	2490000.0	475000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
5000000	0	max	optimal	155744364	5121336	1413279.454176589	858047.6559241572	960000.0	790000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
5000000	0	max	0.05	155744364	13994	1413279.454176589	723870.9446905816	960000.0	455000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
50000000	0	max	optimal	288260161	7314361	9870290.601360623	1138055.3926720324	3860000.0	785000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
50000000	0	max	0.05	288260161	52212	9870290.601360623	932608.3084348426	3860000.0	485000.0	IMR90_HiC_combined_4DNFIIG4IWKW_5kb	5000	495404889	388789769.4683945	24500000.0	315875464	16512984.171033936	5180000.0
