dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	58865797	3119210	1644450.1228786556	380798.4842315843	610000.0	215000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
10000000	0	min	0.05	58865797	5029	1644450.1228786556	299967.1902962816	610000.0	200000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
100000000	0	min	optimal	80572533	3593837	9719224.534308733	862930.9899141224	1410000.0	210000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
100000000	0	min	0.05	80572533	9181	9719224.534308733	774967.868423919	1410000.0	200000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
25000000	0	min	optimal	69497892	3425174	3935474.7399388747	533904.7067389861	900000.0	215000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
25000000	0	min	0.05	69497892	7075	3935474.7399388747	837571.7314487633	900000.0	205000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
5000000	0	min	optimal	52483987	2825644	959808.4304265985	337413.42327625136	480000.0	215000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
5000000	0	min	0.05	52483987	3963	959808.4304265985	301082.51324753975	480000.0	205000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
50000000	0	min	optimal	76904729	3559276	6941532.201160218	739545.7222199121	1205000.0	210000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
50000000	0	min	0.05	76904729	8418	6941532.201160218	778856.022808268	1205000.0	200000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
10000000	0	max	optimal	58865797	2904023	1644450.1228786556	352046.3129940775	610000.0	210000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
10000000	0	max	0.05	58865797	1896	1644450.1228786556	309596.5189873418	610000.0	195000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
100000000	0	max	optimal	80572533	3716043	9719224.534308733	937257.6555222854	1410000.0	215000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
100000000	0	max	0.05	80572533	4522	9719224.534308733	693395.6214064573	1410000.0	190000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
25000000	0	max	optimal	69497892	3433035	3935474.7399388747	541537.1719193076	900000.0	215000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
25000000	0	max	0.05	69497892	3159	3935474.7399388747	629305.1598607154	900000.0	195000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
5000000	0	max	optimal	52483987	2698493	959808.4304265985	326056.33218244405	480000.0	210000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
5000000	0	max	0.05	52483987	1294	959808.4304265985	311808.3462132921	480000.0	205000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
50000000	0	max	optimal	76904729	3627928	6941532.201160218	749869.5288329867	1205000.0	215000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
50000000	0	max	0.05	76904729	4019	6941532.201160218	655273.6999253546	1205000.0	195000.0	IMR90_set1_bio1_tec2_4DNFIH1ZQWOM_5kb	5000	113680544	297311904.14328945	7640000.0	82448186	11736347.156988997	1455000.0
