dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	9749403	962594	1212515.9263597988	118145.13699441301	310000.0	30000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
10000000	0	min	0.05	9749403	64	1212515.9263597988	22968.75	310000.0	10000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
100000000	0	min	optimal	12353031	968962	7690489.829985855	163118.39886393893	610000.0	35000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
100000000	0	min	0.05	12353031	131	7690489.829985855	2629389.3129770993	610000.0	10000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
25000000	0	min	optimal	11010174	970162	2977114.996093613	138746.1011666093	430000.0	30000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
25000000	0	min	0.05	11010174	112	2977114.996093613	2967053.5714285714	430000.0	10000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
5000000	0	min	optimal	8994150	942750	703138.1803727979	111211.78997613364	255000.0	30000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
5000000	0	min	0.05	8994150	56	703138.1803727979	23214.285714285714	255000.0	10000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
50000000	0	min	optimal	11899209	967398	5385370.684303469	158179.27574793415	540000.0	35000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
50000000	0	min	0.05	11899209	124	5385370.684303469	2777177.419354839	540000.0	10000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
10000000	0	max	optimal	9749403	962689	1212515.9263597988	116529.34644521751	310000.0	30000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
10000000	0	max	0.05	9749403	34	1212515.9263597988	30735.29411764706	310000.0	10000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
100000000	0	max	optimal	12353031	980634	7690489.829985855	159387.15157744888	610000.0	30000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
100000000	0	max	0.05	12353031	88	7690489.829985855	3639772.727272727	610000.0	15000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
25000000	0	max	optimal	11010174	968635	2977114.996093613	136925.37952892474	430000.0	30000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
25000000	0	max	0.05	11010174	72	2977114.996093613	4281875.0	430000.0	15000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
5000000	0	max	optimal	8994150	939557	703138.1803727979	109436.39396013228	255000.0	30000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
5000000	0	max	0.05	8994150	28	703138.1803727979	34642.857142857145	255000.0	10000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
50000000	0	max	optimal	11899209	977551	5385370.684303469	154453.91084454927	540000.0	30000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
50000000	0	max	0.05	11899209	83	5385370.684303469	3858433.734939759	540000.0	15000.0	IMR90_set1_bio1_tec3_4DNFIGSQVM9I_5kb	5000	17091281	246277179.04088056	1800000.0	13195361	9025726.642113088	535000.0
