dist_thr	perc_thr	alpha_mod	alpha_thr	filt_pix_num	spar_pix_num	mean_dist_filt	mean_dist_spar	median_dist_filt	median_dist_spar	experiment	resolution	init_pix_num	mean_dist_init	median_dist_init	intra_pix_num	mean_intra_init	median_intra_init
10000000	0	min	optimal	34783642	2180530	1462795.779119392	251730.1596400875	475000.0	110000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
10000000	0	min	0.05	34783642	803	1462795.779119392	169034.8692403487	475000.0	95000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
100000000	0	min	optimal	46190005	3915283	8964544.14629312	433100.39018890844	1025000.0	130000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
100000000	0	min	0.05	46190005	1612	8964544.14629312	749267.9900744417	1025000.0	95000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
25000000	0	min	optimal	40330115	2963294	3547707.2298206934	342064.21637542546	680000.0	120000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
25000000	0	min	0.05	40330115	1188	3547707.2298206934	831927.6094276095	680000.0	100000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
5000000	0	min	optimal	31473937	2048391	851423.34306636	228036.57114291168	380000.0	110000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
5000000	0	min	0.05	31473937	642	851423.34306636	174649.5327102804	380000.0	100000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
50000000	0	min	optimal	44219837	3502644	6331091.786588902	408598.9169895656	890000.0	130000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
50000000	0	min	0.05	44219837	1450	6331091.786588902	780393.1034482758	890000.0	100000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
10000000	0	max	optimal	34783642	3132875	1462795.779119392	285964.21178629855	475000.0	125000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
10000000	0	max	0.05	34783642	335	1462795.779119392	158955.223880597	475000.0	85000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
100000000	0	max	optimal	46190005	3787746	8964544.14629312	427873.0107562651	1025000.0	130000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
100000000	0	max	0.05	46190005	834	8964544.14629312	771055.1558752997	1025000.0	90000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
25000000	0	max	optimal	40330115	3485426	3547707.2298206934	352652.1578710895	680000.0	125000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
25000000	0	max	0.05	40330115	543	3547707.2298206934	873038.6740331491	680000.0	95000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
5000000	0	max	optimal	31473937	2874719	851423.34306636	257702.7093778557	380000.0	120000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
5000000	0	max	0.05	31473937	237	851423.34306636	160485.23206751054	380000.0	85000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
50000000	0	max	optimal	44219837	3688203	6331091.786588902	407674.5355393941	890000.0	130000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
50000000	0	max	0.05	44219837	731	6331091.786588902	863789.3296853625	890000.0	95000.0	IMR90_set1_bio1_tec4_4DNFIMU9T2QI_5kb	5000	63415194	270117672.0019969	4620000.0	47490169	10841979.937363457	1035000.0
